model,step,threshold_rounded_mean,selected_as_threshold,width_mean,width_median,width_q1,width_q3,width_min,width_max,width_stddev,total_mape_start_states,contributing_start_states,contributing_fraction
21,6,17,1,17.11864406779661,17,16.5,18.0,15,18,0.9035663006957179,72,59,0.8194444444444444
21,7,18,1,17.74074074074074,18.0,18.0,18.0,16,18,0.5158662324883007,72,54,0.75
21,8,18,0,17.979591836734695,18,18.0,18.0,17,18,0.14139190265868384,72,49,0.6805555555555556
21,9,18,0,18.0,18.0,18.0,18.0,18,18,0.0,72,42,0.5833333333333334
21,10,18,0,18.0,18,18.0,18.0,18,18,0.0,72,35,0.4861111111111111
22,1,5,1,5.028985507246377,5,4.0,6.0,3,6,0.8841767560967909,69,69,1.0
22,2,9,1,9.117647058823529,9.0,8.0,10.0,6,12,1.6407441977625121,69,68,0.9855072463768116
22,3,12,1,12.106060606060606,12.0,11.0,13.0,9,17,1.8268103339774782,69,66,0.9565217391304348
22,4,14,1,14.09375,14.0,13.0,15.0,12,18,1.4654217609616693,69,64,0.927536231884058
22,5,16,1,15.766666666666667,16.0,15.0,17.0,14,18,1.2432037465981012,69,60,0.8695652173913043
22,6,17,1,16.912280701754387,17,16.0,18.0,15,18,1.0967368146026515,69,57,0.8260869565217391
22,7,18,1,17.566037735849058,18,17.0,18.0,16,18,0.687061941737099,69,53,0.7681159420289855
22,8,18,0,17.92,18.0,18.0,18.0,17,18,0.2712931993250107,69,50,0.7246376811594203
22,9,18,0,18.0,18.0,18.0,18.0,18,18,0.0,69,48,0.6956521739130435
22,10,18,0,18.0,18,18.0,18.0,18,18,0.0,69,45,0.6521739130434783
23,1,5,1,5.1506849315068495,5,4.0,6.0,3,6,0.9315068493150686,73,73,1.0
23,2,10,1,9.577464788732394,10,8.0,11.0,6,12,1.7971963441606462,73,71,0.9726027397260274
23,3,13,1,12.826086956521738,13,11.0,15.0,9,17,2.139731269454658,73,69,0.9452054794520548
23,4,15,1,15.059701492537313,15,13.0,17.0,12,18,1.851829245012709,73,67,0.9178082191780822
23,5,17,1,16.609375,17.0,16.0,18.0,14,18,1.3763310319014825,73,64,0.8767123287671232
23,6,17,0,17.466666666666665,18.0,17.0,18.0,15,18,0.9568466729604883,73,60,0.821917808219178
23,7,18,1,17.818181818181817,18,18.0,18.0,16,18,0.5077905470461433,73,55,0.7534246575342466
23,8,18,0,17.96078431372549,18,18.0,18.0,17,18,0.1941077438551307,73,51,0.6986301369863014
23,9,18,0,18.0,18,18.0,18.0,18,18,0.0,73,45,0.6164383561643836
23,10,18,0,18.0,18.0,18.0,18.0,18,18,0.0,73,40,0.547945205479452
24,1,5,1,5.189873417721519,5,5.0,6.0,3,6,0.9011378091421614,79,79,1.0
24,2,10,1,9.558441558441558,10,8.0,11.0,6,12,1.7837178923001968,79,77,0.9746835443037974
24,3,13,1,13.04054054054054,13.0,12.0,15.0,9,17,2.0627925783581436,79,74,0.9367088607594937
24,4,15,1,15.450704225352112,15,14.0,17.0,12,18,1.718078950081905,79,71,0.8987341772151899
24,5,17,1,17.043478260869566,17,16.0,18.0,14,18,1.1090508098382024,79,69,0.8734177215189873
24,6,18,1,17.82089552238806,18,18.0,18.0,16,18,0.4546730212456065,79,67,0.8481012658227848
24,7,18,0,18.0,18.0,18.0,18.0,18,18,0.0,79,64,0.810126582278481
24,8,18,0,18.0,18.0,18.0,18.0,18,18,0.0,79,60,0.759493670886076
24,9,18,0,18.0,18,18.0,18.0,18,18,0.0,79,53,0.6708860759493671
24,10,18,0,18.0,18,18.0,18.0,18,18,0.0,79,49,0.620253164556962
25,1,5,1,5.375,6.0,5.0,6.0,3,6,0.7716774657271723,72,72,1.0
25,2,10,1,10.0,10.0,9.0,11.0,6,12,1.5946338585572373,72,70,0.9722222222222222
25,3,13,1,13.441176470588236,14.0,12.0,15.0,9,17,2.0820122685770106,72,68,0.9444444444444444
25,4,16,1,15.757575757575758,16.0,14.0,17.0,12,18,1.8509670368576305,72,66,0.9166666666666666
25,5,17,1,17.171875,18.0,16.0,18.0,14,18,1.1117931392012634,72,64,0.8888888888888888
25,6,18,1,17.79032258064516,18.0,18.0,18.0,16,18,0.47982176711753277,72,62,0.8611111111111112
25,7,18,0,17.983050847457626,18,18.0,18.0,17,18,0.12908090009938827,72,59,0.8194444444444444
25,8,18,0,18.0,18.0,18.0,18.0,18,18,0.0,72,56,0.7777777777777778
25,9,18,0,18.0,18,18.0,18.0,18,18,0.0,72,53,0.7361111111111112
25,10,18,0,18.0,18,18.0,18.0,18,18,0.0,72,49,0.6805555555555556
26,1,5,1,5.295081967213115,6,5.0,6.0,3,6,0.8365475948965949,61,61,1.0
26,2,10,1,9.88135593220339,10,9.0,11.0,6,12,1.2767111583231514,61,59,0.9672131147540983
26,3,13,1,13.172413793103448,13.0,12.0,14.75,9,16,1.5662158550587262,61,58,0.9508196721311475
26,4,15,1,15.298245614035087,16,14.0,16.0,12,18,1.4505281830592551,61,57,0.9344262295081968
