h,map,raw_atom_count,mean_frobenius_error,rmse_frobenius_error,max_frobenius_error,gvars,gstates,extra_gstates,split_gvars,max_gstates_per_gvar,lookup_transitions
0.05,55,673,0.02205135826407005,0.02463777707982936,0.04455120649320287,106,137,31,27,3,521
0.05,56,514,0.02260213312010373,0.025619093226404217,0.04455120649320287,103,136,33,24,4,385
0.05,57,705,0.020070389603343963,0.022470539893838067,0.04393574854261619,83,125,42,32,6,555
0.05,58,652,0.022031396533614137,0.024731950721749944,0.04388633044582335,111,147,36,32,3,553
0.05,59,624,0.022229839045876148,0.024931821778191178,0.04410204076910727,107,135,28,23,3,526
0.05,60,711,0.019546815815455476,0.021796669380019642,0.04388633044582333,69,114,45,31,5,529
0.05,61,666,0.02260538917997122,0.025291449492218072,0.044551206493202905,122,159,37,28,4,576
0.05,62,691,0.02055879612097436,0.023011889898494533,0.04410204076910728,91,129,38,32,4,568
0.05,63,638,0.022488152316271624,0.025302815893947644,0.04388633044582335,115,130,15,14,3,527
0.05,64,573,0.023195960578132106,0.026036325141541965,0.044551206493202905,109,125,16,15,3,486
0.05,65,710,0.021504627870417854,0.024176341887106368,0.04425923632418441,95,125,30,18,4,519
0.05,66,746,0.023495209222416484,0.026202093780815672,0.043886330445823345,132,156,24,23,3,626
0.05,67,647,0.02128076579256888,0.023870410699340268,0.04425923632418441,95,121,26,22,3,465
0.05,68,697,0.021408790079888048,0.023998801978707185,0.04455120649320287,90,136,46,29,4,534
0.05,69,692,0.02149335477288657,0.02409591593486093,0.043886330445823345,89,113,24,19,4,508
0.05,70,771,0.020392367343931433,0.022814436119712476,0.0439357485426162,90,138,48,33,6,627
0.05,71,691,0.022532056309920962,0.025267342484664612,0.044551206493202905,130,164,34,27,4,545
0.05,72,667,0.021983051261436914,0.024628269309381293,0.04388633044582335,114,150,36,29,4,559
0.05,73,665,0.020996773646798417,0.023681917533111916,0.04425923632418443,107,141,34,30,3,550
0.05,74,755,0.022330733427056743,0.02491097207660361,0.04388633044582335,99,134,35,30,3,593
0.05,75,637,0.020720272593975395,0.02330234826902353,0.043886330445823345,90,120,30,24,3,494
0.05,76,518,0.022163551623121204,0.024925024639543557,0.04410204076910728,93,117,24,21,3,443
0.05,77,597,0.021214044874315923,0.023877743468883935,0.04388633044582335,94,120,26,25,3,496
0.05,78,654,0.020681075812863638,0.023216273094349968,0.04388633044582335,97,132,35,30,4,516
0.05,79,624,0.02195041297512646,0.024759602837935584,0.04455120649320287,125,155,30,24,3,483
0.05,80,569,0.023029494479393744,0.02587240218996076,0.04388633044582335,100,115,15,14,3,490
0.05,81,562,0.02059456025972038,0.023292013278423965,0.04388633044582335,97,119,22,21,3,486
0.05,82,690,0.02239741427014024,0.02496435778105037,0.044551206493202905,123,148,25,24,3,585
0.05,83,641,0.020905069478439658,0.02350236619680399,0.04388633044582335,93,120,27,23,3,470
0.05,84,629,0.022097215781299334,0.02482873418713595,0.04388633044582335,98,124,26,24,3,475
0.05,85,663,0.02167218090233103,0.024443795845867512,0.0439357485426162,117,144,27,23,3,507
0.05,86,525,0.021163967595665974,0.024098423975339945,0.04425923632418441,85,119,34,24,4,431
0.05,87,610,0.021910085280961895,0.024709659291359768,0.044102040769107294,104,131,27,23,3,495
0.05,88,730,0.020850246091939407,0.023422626632300762,0.04425923632418438,102,157,55,32,6,602
0.05,89,699,0.020688103073990015,0.02323033633993234,0.04425923632418438,93,122,29,26,3,533
0.05,90,727,0.02231150361488921,0.024954349517367476,0.04425923632418441,115,164,49,34,5,645
0.05,91,646,0.02116801101680979,0.023872579708098265,0.04425923632418438,84,115,31,25,3,488
0.05,92,702,0.021676814579325368,0.024265184396356318,0.04388633044582335,99,134,35,32,3,558
0.05,93,713,0.02312568516122509,0.02583890838514206,0.04455120649320287,119,150,31,27,3,552
0.05,94,592,0.020795589333087765,0.023485487899805122,0.044551206493202905,95,118,23,20,3,487
0.05,95,564,0.023162798210031827,0.026051405129471582,0.04393574854261619,124,137,13,11,3,466
0.05,96,432,0.023385637498753043,0.02656633381918914,0.04425923632418441,99,126,27,23,4,366
0.05,97,651,0.020268733605803436,0.0227296837933488,0.043886330445823345,72,99,27,22,5,499
0.05,98,563,0.02200040836176966,0.024890904771014577,0.04455120649320287,122,162,40,29,4,458
0.05,99,719,0.021881437106600173,0.024542786005739156,0.04388633044582335,103,138,35,26,4,622
0.075,10,643,0.03055529521772845,0.035086557265961625,0.0693299358141922,43,111,68,23,9,492
0.075,11,486,0.031356941920105755,0.03620891456295206,0.07210575566485658,51,102,51,25,6,372
0.075,12,734,0.02824874882845812,0.032131574911090637,0.06718444760508191,49,132,83,30,10,601
0.075,13,676,0.030268402901522322,0.03468799755760216,0.06942852439739733,55,141,86,31,10,571
0.075,14,707,0.033357564490817046,0.037850787969727656,0.07050645360532608,58,135,77,31,7,599
0.075,15,548,0.028483566754881944,0.032700458712378956,0.06706467028175116,48,119,71,32,7,470
0.075,16,717,0.030439612395616586,0.03453907394545723,0.07050645360532609,48,119,71,23,11,567
0.075,17,652,0.0288692405524272,0.03299285872721345,0.06718444760508191,40,91,51,21,6,481
0.075,18,698,0.029068996225924838,0.03313058516465467,0.06718444760508191,46,111,65,24,7,544
0.075,19,633,0.031476978271832795,0.035777818637769035,0.06633309882705621,55,103,48,26,4,508
0.075,20,494,0.03267840382493902,0.037650403915227226,0.06942852439739736,52,106,54,28,7,410
0.075,21,652,0.02932877832718496,0.03373062384040024,0.06718444760508191,51,106,55,27,6,528
0.075,22,652,0.032970758667045845,0.03758561413054938,0.07246040297983448,58,116,58,34,5,572
0.075,23,670,0.029817691666942547,0.03404500818166376,0.06718444760508191,52,114,62,30,6,569
0.075,24,743,0.030708233371369978,0.03493167817287171,0.07210575566485657,49,111,62,27,9,562
0.075,25,692,0.030062898135240386,0.034536030862646394,0.07089160740172276,48,100,52,24,6,528
0.075,26,571,0.029285318026549222,0.0335280808674608,0.06592533655583414,41,92,51,20,7,408
