model,decision,threshold,actual_update_q1,actual_update_median,actual_update_mean,actual_update_q3,interval_trigger_fraction,fallback_fraction
22,6,13,3.0,4.0,4.463768115942029,4.0,0.8695652173913043,0.13043478260869565
22,7,15,4.0,5.0,5.449275362318841,6.0,0.855072463768116,0.14492753623188406
22,8,16,5.0,6.0,6.188405797101449,7.0,0.8115942028985508,0.18840579710144928
22,9,18,6.0,7.0,7.594202898550725,10.0,0.7246376811594203,0.2753623188405797
22,10,19,10.0,10.0,10.0,10.0,0.0,1.0
23,1,3,1.0,1.0,1.0,1.0,1.0,0.0
23,2,5,1.0,1.0,1.4794520547945205,2.0,0.9726027397260274,0.0273972602739726
23,3,6,1.0,2.0,1.7534246575342465,2.0,0.9726027397260274,0.0273972602739726
23,4,9,2.0,2.0,2.684931506849315,3.0,0.9452054794520548,0.0547945205479452
23,5,10,2.0,2.0,3.095890410958904,3.0,0.9178082191780822,0.0821917808219178
23,6,12,3.0,3.0,3.6164383561643834,4.0,0.9178082191780822,0.0821917808219178
23,7,13,3.0,3.0,4.260273972602739,4.0,0.8767123287671232,0.1232876712328767
23,8,16,4.0,5.0,5.63013698630137,6.0,0.8082191780821918,0.1917808219178082
23,9,17,4.0,5.0,6.123287671232877,7.0,0.8082191780821918,0.1917808219178082
23,10,19,10.0,10.0,10.0,10.0,0.0,1.0
24,1,3,1.0,1.0,1.0,1.0,1.0,0.0
24,2,6,1.0,2.0,1.7341772151898733,2.0,0.9746835443037974,0.02531645569620253
24,3,8,2.0,2.0,2.6202531645569622,2.0,0.9367088607594937,0.06329113924050633
24,4,10,2.0,2.0,3.2025316455696204,3.0,0.8987341772151899,0.10126582278481013
24,5,11,2.0,3.0,3.430379746835443,3.0,0.8987341772151899,0.10126582278481013
24,6,13,3.0,3.0,4.2405063291139244,4.0,0.8734177215189873,0.12658227848101267
24,7,14,3.0,4.0,4.443037974683544,4.0,0.8734177215189873,0.12658227848101267
24,8,16,4.0,5.0,5.30379746835443,5.0,0.8481012658227848,0.1518987341772152
24,9,17,4.0,5.0,5.670886075949367,6.0,0.8481012658227848,0.1518987341772152
24,10,19,10.0,10.0,10.0,10.0,0.0,1.0
25,1,3,1.0,1.0,1.0,1.0,1.0,0.0
25,2,5,1.0,1.0,1.3472222222222223,1.0,0.9722222222222222,0.027777777777777776
25,3,6,1.0,1.0,1.6944444444444444,2.0,0.9722222222222222,0.027777777777777776
25,4,10,2.0,2.0,2.9305555555555554,3.0,0.9166666666666666,0.08333333333333333
25,5,12,3.0,3.0,3.5277777777777777,3.0,0.9166666666666666,0.08333333333333333
25,6,14,3.0,3.0,4.263888888888889,4.0,0.8888888888888888,0.1111111111111111
25,7,15,3.0,4.0,4.625,5.0,0.8888888888888888,0.1111111111111111
25,8,17,4.0,5.0,5.430555555555555,6.0,0.8611111111111112,0.1388888888888889
25,9,18,5.0,5.0,6.097222222222222,7.0,0.8333333333333334,0.16666666666666666
25,10,19,10.0,10.0,10.0,10.0,0.0,1.0
26,1,3,1.0,1.0,1.0,1.0,1.0,0.0
26,2,5,1.0,1.0,1.4426229508196722,1.0,0.9672131147540983,0.03278688524590164
26,3,9,2.0,2.0,2.5245901639344264,2.0,0.9508196721311475,0.04918032786885246
26,4,10,2.0,2.0,2.819672131147541,3.0,0.9344262295081968,0.06557377049180328
26,5,12,3.0,3.0,3.5081967213114753,3.0,0.9344262295081968,0.06557377049180328
26,6,14,3.0,4.0,4.245901639344262,4.0,0.9016393442622951,0.09836065573770492
26,7,15,4.0,4.0,4.622950819672131,5.0,0.9016393442622951,0.09836065573770492
26,8,16,4.0,5.0,5.295081967213115,5.0,0.8524590163934426,0.14754098360655737
26,9,18,5.0,6.0,6.459016393442623,7.0,0.819672131147541,0.18032786885245902
26,10,19,10.0,10.0,10.0,10.0,0.0,1.0
27,1,3,1.0,1.0,1.0,1.0,1.0,0.0
27,2,6,1.0,2.0,1.6538461538461537,2.0,0.9871794871794872,0.01282051282051282
27,3,9,2.0,2.0,2.5384615384615383,3.0,0.9615384615384616,0.038461538461538464
27,4,10,2.0,2.5,3.0641025641025643,3.0,0.9230769230769231,0.07692307692307693
27,5,11,2.0,3.0,3.3333333333333335,3.0,0.9230769230769231,0.07692307692307693
27,6,13,3.0,3.0,4.17948717948718,4.0,0.8846153846153846,0.11538461538461539
27,7,15,4.0,4.0,4.769230769230769,5.0,0.8846153846153846,0.11538461538461539
27,8,16,4.0,5.0,5.282051282051282,5.75,0.8461538461538461,0.15384615384615385
27,9,18,5.0,6.0,6.5,7.0,0.8076923076923077,0.19230769230769232
27,10,19,10.0,10.0,10.0,10.0,0.0,1.0
28,1,3,1.0,1.0,1.0,1.0,1.0,0.0
28,2,5,1.0,1.0,1.3823529411764706,1.0,0.9705882352941176,0.029411764705882353
28,3,6,1.0,1.0,1.6176470588235294,2.0,0.9705882352941176,0.029411764705882353
28,4,10,2.0,2.0,2.8088235294117645,3.0,0.9264705882352942,0.07352941176470588
28,5,12,3.0,3.0,3.338235294117647,3.0,0.9264705882352942,0.07352941176470588
28,6,14,3.0,3.0,4.117647058823529,4.0,0.8970588235294118,0.10294117647058823
28,7,15,3.0,4.0,4.397058823529412,5.0,0.8970588235294118,0.10294117647058823
28,8,17,4.0,5.0,5.338235294117647,6.0,0.8676470588235294,0.1323529411764706
28,9,18,5.0,5.0,5.911764705882353,6.0,0.8382352941176471,0.16176470588235295
28,10,19,10.0,10.0,10.0,10.0,0.0,1.0
29,1,3,1.0,1.0,1.0,1.0,1.0,0.0
29,2,5,1.0,1.0,1.5303030303030303,2.0,0.9696969696969697,0.030303030303030304
29,3,6,1.0,2.0,1.878787878787879,2.0,0.9696969696969697,0.030303030303030304
29,4,9,2.0,2.0,2.803030303030303,3.0,0.9393939393939394,0.06060606060606061
29,5,11,2.25,3.0,3.590909090909091,3.0,0.8939393939393939,0.10606060606060606
29,6,13,3.0,4.0,4.454545454545454,4.0,0.8484848484848485,0.15151515151515152
29,7,14,3.0,4.0,4.7272727272727275,5.0,0.8484848484848485,0.15151515151515152
29,8,16,4.0,5.0,5.863636363636363,6.75,0.7878787878787878,0.21212121212121213
29,9,17,5.0,6.0,6.378787878787879,7.75,0.7727272727272727,0.22727272727272727
29,10,19,10.0,10.0,10.0,10.0,0.0,1.0
30,1,3,1.0,1.0,1.0,1.0,1.0,0.0
30,2,6,1.0,2.0,1.7538461538461538,2.0,0.9846153846153847,0.015384615384615385
