model,decision,threshold,first_step_q1,first_step_median,first_step_mean,first_step_q3,reached_fraction,not_reached_fraction
15,2,5,1.0,1.0,1.1475409836065573,1.0,0.9682539682539683,0.031746031746031744
15,3,9,2.0,2.0,2.2203389830508473,2.0,0.9365079365079365,0.06349206349206349
15,4,10,2.0,2.0,2.4285714285714284,3.0,0.8888888888888888,0.11111111111111116
15,5,13,3.0,3.0,3.4423076923076925,4.0,0.8253968253968254,0.17460317460317465
15,6,14,4.0,4.0,3.980769230769231,4.0,0.8253968253968254,0.17460317460317465
15,7,15,4.0,4.0,4.4423076923076925,5.0,0.8253968253968254,0.17460317460317465
15,8,17,5.0,6.0,5.8478260869565215,6.0,0.7301587301587301,0.2698412698412699
15,9,18,6.0,7.0,6.5,7.0,0.6666666666666666,0.33333333333333337
15,10,19,,,,,0.0,1.0
16,1,3,1.0,1.0,1.0,1.0,1.0,0.0
16,2,5,1.0,1.0,1.1506849315068493,1.0,0.9733333333333334,0.026666666666666616
16,3,6,1.0,2.0,1.5068493150684932,2.0,0.9733333333333334,0.026666666666666616
16,4,10,2.0,2.0,2.318840579710145,3.0,0.92,0.07999999999999996
16,5,12,3.0,3.0,2.9420289855072466,3.0,0.92,0.07999999999999996
16,6,14,3.0,3.0,3.462686567164179,4.0,0.8933333333333333,0.10666666666666669
16,7,16,4.0,4.0,4.323076923076923,5.0,0.8666666666666667,0.1333333333333333
16,8,17,4.0,4.5,4.78125,6.0,0.8533333333333334,0.1466666666666666
16,9,18,4.0,5.0,5.338709677419355,6.0,0.8266666666666667,0.17333333333333334
16,10,19,,,,,0.0,1.0
17,1,3,1.0,1.0,1.0,1.0,1.0,0.0
17,2,5,1.0,1.0,1.1818181818181819,1.0,0.9705882352941176,0.02941176470588236
17,3,6,1.0,1.0,1.4393939393939394,2.0,0.9705882352941176,0.02941176470588236
17,4,9,2.0,2.0,2.25,2.25,0.9411764705882353,0.05882352941176472
17,5,10,2.0,2.0,2.3870967741935485,3.0,0.9117647058823529,0.08823529411764708
17,6,12,2.0,3.0,2.9193548387096775,3.0,0.9117647058823529,0.08823529411764708
17,7,15,3.0,4.0,3.8833333333333333,5.0,0.8823529411764706,0.11764705882352944
17,8,17,4.0,4.0,4.56140350877193,5.0,0.8382352941176471,0.16176470588235292
17,9,18,4.0,5.0,5.1454545454545455,6.0,0.8088235294117647,0.19117647058823528
17,10,19,,,,,0.0,1.0
18,1,3,1.0,1.0,1.0,1.0,1.0,0.0
18,2,6,1.0,1.0,1.4583333333333333,2.0,0.9863013698630136,0.013698630136986356
18,3,9,2.0,2.0,2.1714285714285713,2.0,0.958904109589041,0.04109589041095896
18,4,10,2.0,2.0,2.338235294117647,3.0,0.9315068493150684,0.06849315068493156
18,5,12,3.0,3.0,2.926470588235294,3.0,0.9315068493150684,0.06849315068493156
18,6,15,3.0,4.0,3.8461538461538463,4.0,0.8904109589041096,0.1095890410958904
18,7,16,4.0,4.0,4.225806451612903,5.0,0.8493150684931506,0.15068493150684936
18,8,17,4.0,5.0,4.693548387096774,5.0,0.8493150684931506,0.15068493150684936
18,9,18,5.0,5.0,5.3,6.0,0.821917808219178,0.17808219178082196
18,10,19,,,,,0.0,1.0
19,1,3,1.0,1.0,1.0,1.0,1.0,0.0
19,2,6,1.0,2.0,1.6,2.0,0.9701492537313433,0.02985074626865669
19,3,8,2.0,2.0,2.111111111111111,2.0,0.9402985074626866,0.05970149253731338
19,4,9,2.0,2.0,2.2857142857142856,3.0,0.9402985074626866,0.05970149253731338
19,5,12,3.0,3.0,3.1475409836065573,3.0,0.9104477611940298,0.08955223880597019
19,6,14,3.0,4.0,3.864406779661017,4.0,0.8805970149253731,0.11940298507462688
19,7,15,4.0,4.0,4.237288135593221,5.0,0.8805970149253731,0.11940298507462688
19,8,16,4.0,5.0,4.678571428571429,5.0,0.835820895522388,0.16417910447761197
19,9,18,5.0,6.0,5.685185185185185,6.75,0.8059701492537313,0.19402985074626866
19,10,19,,,,,0.0,1.0
20,1,3,1.0,1.0,1.0,1.0,1.0,0.0
20,2,6,1.0,2.0,1.6041666666666667,2.0,0.9795918367346939,0.020408163265306145
20,3,8,2.0,2.0,2.0638297872340425,2.0,0.9591836734693877,0.04081632653061229
20,4,9,2.0,2.0,2.25531914893617,2.5,0.9591836734693877,0.04081632653061229
20,5,12,3.0,3.0,3.0217391304347827,3.0,0.9387755102040817,0.061224489795918324
20,6,14,3.0,4.0,3.888888888888889,4.0,0.9183673469387755,0.08163265306122447
20,7,15,4.0,4.0,4.295454545454546,5.0,0.8979591836734694,0.10204081632653061
20,8,16,4.0,5.0,4.833333333333333,5.75,0.8571428571428571,0.1428571428571429
20,9,18,5.0,6.0,6.125,7.0,0.8163265306122449,0.18367346938775508
20,10,19,,,,,0.0,1.0
21,1,3,1.0,1.0,1.0,1.0,1.0,0.0
21,2,5,1.0,1.0,1.1857142857142857,1.0,0.9722222222222222,0.02777777777777779
21,3,9,2.0,2.0,2.1911764705882355,2.0,0.9444444444444444,0.05555555555555558
21,4,10,2.0,2.0,2.3846153846153846,3.0,0.9027777777777778,0.09722222222222221
21,5,13,3.0,3.0,3.3492063492063493,4.0,0.875,0.125
21,6,14,3.0,4.0,3.7777777777777777,4.0,0.875,0.125
21,7,15,4.0,4.0,4.317460317460317,5.0,0.875,0.125
21,8,17,5.0,6.0,5.649122807017544,6.0,0.7916666666666666,0.20833333333333337
21,9,18,5.0,7.0,6.346153846153846,7.0,0.7222222222222222,0.2777777777777778
21,10,19,,,,,0.0,1.0
22,1,3,1.0,1.0,1.0,1.0,1.0,0.0
22,2,6,1.0,2.0,1.6323529411764706,2.0,0.9855072463768116,0.01449275362318836
22,3,8,2.0,2.0,2.1363636363636362,2.0,0.9565217391304348,0.04347826086956519
22,4,9,2.0,2.0,2.3636363636363638,3.0,0.9565217391304348,0.04347826086956519
22,5,12,3.0,3.0,3.21875,4.0,0.927536231884058,0.07246376811594202
22,6,14,4.0,4.0,4.15,5.0,0.8695652173913043,0.13043478260869568
22,7,15,4.0,5.0,4.677966101694915,5.0,0.855072463768116,0.14492753623188404
22,8,16,5.0,5.0,5.303571428571429,6.0,0.8115942028985508,0.18840579710144922
22,9,18,6.0,7.0,6.68,8.0,0.7246376811594203,0.2753623188405797
22,10,19,,,,,0.0,1.0
23,1,3,1.0,1.0,1.0,1.0,1.0,0.0
23,2,6,1.0,2.0,1.5211267605633803,2.0,0.9726027397260274,0.0273972602739726
23,3,8,2.0,2.0,2.130434782608696,2.0,0.9452054794520548,0.0547945205479452
23,4,10,2.0,2.0,2.4776119402985075,3.0,0.9178082191780822,0.0821917808219178
23,5,11,2.0,3.0,2.791044776119403,3.0,0.9178082191780822,0.0821917808219178
23,6,13,3.0,3.0,3.453125,4.0,0.8767123287671232,0.12328767123287676
23,7,15,3.0,4.0,4.2063492063492065,5.0,0.863013698630137,0.136986301369863
23,8,16,4.0,4.0,4.593220338983051,5.0,0.8082191780821918,0.1917808219178082
23,9,18,5.0,6.0,5.839285714285714,6.0,0.7671232876712328,0.23287671232876717
23,10,19,,,,,0.0,1.0
24,1,3,1.0,1.0,1.0,1.0,1.0,0.0
24,2,6,1.0,2.0,1.5194805194805194,2.0,0.9746835443037974,0.025316455696202556
24,3,8,2.0,2.0,2.1216216216216215,2.0,0.9367088607594937,0.06329113924050633
24,4,9,2.0,2.0,2.27027027027027,3.0,0.9367088607594937,0.06329113924050633
24,5,12,3.0,3.0,3.028169014084507,3.0,0.8987341772151899,0.10126582278481011
24,6,14,3.0,4.0,3.63768115942029,4.0,0.8734177215189873,0.12658227848101267
24,7,15,3.0,4.0,4.0,5.0,0.8734177215189873,0.12658227848101267
24,8,16,4.0,4.0,4.462686567164179,5.0,0.8481012658227848,0.15189873417721522
24,9,18,5.0,6.0,5.476923076923077,6.0,0.8227848101265823,0.17721518987341767
24,10,19,,,,,0.0,1.0
25,1,3,1.0,1.0,1.0,1.0,1.0,0.0
25,2,5,1.0,1.0,1.1,1.0,0.9722222222222222,0.02777777777777779
25,3,6,1.0,1.0,1.457142857142857,2.0,0.9722222222222222,0.02777777777777779
25,4,10,2.0,2.0,2.287878787878788,3.0,0.9166666666666666,0.08333333333333337
25,5,12,3.0,3.0,2.9393939393939394,3.0,0.9166666666666666,0.08333333333333337
25,6,14,3.0,3.0,3.546875,4.0,0.8888888888888888,0.11111111111111116
25,7,16,4.0,4.0,4.306451612903226,5.0,0.8611111111111112,0.13888888888888884
25,8,17,4.0,4.0,4.693548387096774,5.75,0.8611111111111112,0.13888888888888884
25,9,18,5.0,5.0,5.316666666666666,6.0,0.8333333333333334,0.16666666666666663
25,10,19,,,,,0.0,1.0
26,1,3,1.0,1.0,1.0,1.0,1.0,0.0
26,2,5,1.0,1.0,1.152542372881356,1.0,0.9672131147540983,0.032786885245901676
26,3,9,2.0,2.0,2.1379310344827585,2.0,0.9508196721311475,0.049180327868852514
26,4,10,2.0,2.0,2.3157894736842106,3.0,0.9344262295081968,0.06557377049180324
26,5,13,3.0,3.0,3.327272727272727,4.0,0.9016393442622951,0.09836065573770492
26,6,14,3.0,4.0,3.618181818181818,4.0,0.9016393442622951,0.09836065573770492
26,7,15,3.0,4.0,4.036363636363636,5.0,0.9016393442622951,0.09836065573770492
26,8,17,4.75,5.0,5.019230769230769,5.25,0.8524590163934426,0.14754098360655743
26,9,18,5.0,6.0,5.68,6.0,0.819672131147541,0.180327868852459
26,10,19,,,,,0.0,1.0
27,1,3,1.0,1.0,1.0,1.0,1.0,0.0
27,2,6,1.0,2.0,1.5454545454545454,2.0,0.9871794871794872,0.012820512820512775
27,3,9,2.0,2.0,2.24,2.0,0.9615384615384616,0.038461538461538436
27,4,12,3.0,3.0,2.9722222222222223,3.0,0.9230769230769231,0.07692307692307687
27,5,13,3.0,3.0,3.420289855072464,4.0,0.8846153846153846,0.11538461538461542
27,6,14,3.0,4.0,3.753623188405797,4.0,0.8846153846153846,0.11538461538461542
27,7,16,4.0,4.0,4.424242424242424,5.0,0.8461538461538461,0.15384615384615385
27,8,17,4.0,5.0,4.984615384615385,6.0,0.8333333333333334,0.16666666666666663
27,9,18,5.0,6.0,5.666666666666667,7.0,0.8076923076923077,0.1923076923076923
27,10,19,,,,,0.0,1.0
28,1,3,1.0,1.0,1.0,1.0,1.0,0.0
28,2,5,1.0,1.0,1.121212121212121,1.0,0.9705882352941176,0.02941176470588236
28,3,6,1.0,1.0,1.3636363636363635,2.0,0.9705882352941176,0.02941176470588236
28,4,12,2.5,3.0,2.8095238095238093,3.0,0.9264705882352942,0.07352941176470584
28,5,13,3.0,3.0,3.2131147540983607,3.0,0.8970588235294118,0.1029411764705882
28,6,14,3.0,3.0,3.442622950819672,4.0,0.8970588235294118,0.1029411764705882
28,7,16,4.0,4.0,4.1525423728813555,4.5,0.8676470588235294,0.13235294117647056
28,8,17,4.0,4.0,4.627118644067797,5.0,0.8676470588235294,0.13235294117647056
28,9,18,4.0,5.0,5.12280701754386,6.0,0.8382352941176471,0.16176470588235292
28,10,19,,,,,0.0,1.0
29,1,3,1.0,1.0,1.0,1.0,1.0,0.0
29,2,5,1.0,1.0,1.265625,2.0,0.9696969696969697,0.030303030303030276
29,3,6,1.0,2.0,1.625,2.0,0.9696969696969697,0.030303030303030276
29,4,9,2.0,2.0,2.338709677419355,3.0,0.9393939393939394,0.06060606060606055
29,5,10,2.0,2.0,2.5084745762711864,3.0,0.8939393939393939,0.10606060606060608
29,6,13,3.0,3.0,3.4642857142857144,4.0,0.8484848484848485,0.1515151515151515
29,7,15,3.5,4.0,4.254545454545455,5.0,0.8333333333333334,0.16666666666666663
29,8,16,4.0,5.0,4.75,5.0,0.7878787878787878,0.21212121212121215
29,9,18,5.0,6.0,5.916666666666667,6.0,0.7272727272727273,0.2727272727272727
29,10,19,,,,,0.0,1.0
30,1,3,1.0,1.0,1.0,1.0,1.0,0.0
30,2,6,1.0,2.0,1.625,2.0,0.9846153846153847,0.01538461538461533
30,3,8,2.0,2.0,2.096774193548387,2.0,0.9538461538461539,0.0461538461538461
30,4,12,3.0,3.0,3.1016949152542375,3.0,0.9076923076923077,0.09230769230769231
30,5,13,3.0,3.0,3.392857142857143,4.0,0.8615384615384616,0.1384615384615384
30,6,14,3.0,4.0,3.857142857142857,4.0,0.8615384615384616,0.1384615384615384
30,7,16,4.0,5.0,4.849056603773585,6.0,0.8153846153846154,0.18461538461538463
30,8,17,4.75,6.0,5.461538461538462,6.0,0.8,0.19999999999999996
30,9,18,5.0,6.0,6.098039215686274,7.0,0.7846153846153846,0.2153846153846154
30,10,19,,,,,0.0,1.0
31,1,3,1.0,1.0,1.0,1.0,1.0,0.0
31,2,5,1.0,1.0,1.1194029850746268,1.0,0.9710144927536232,0.02898550724637683
31,3,6,1.0,1.0,1.4477611940298507,2.0,0.9710144927536232,0.02898550724637683
31,4,10,2.0,2.0,2.3076923076923075,3.0,0.9420289855072463,0.05797101449275366
31,5,12,3.0,3.0,2.9846153846153847,3.0,0.9420289855072463,0.05797101449275366
31,6,14,3.0,3.0,3.492063492063492,4.0,0.9130434782608695,0.08695652173913049
31,7,16,4.0,4.0,4.35,5.0,0.8695652173913043,0.13043478260869568
31,8,17,4.0,5.0,4.813559322033898,5.0,0.855072463768116,0.14492753623188404
31,9,18,5.0,5.0,5.491228070175438,6.0,0.8260869565217391,0.17391304347826086
31,10,19,,,,,0.0,1.0
32,1,3,1.0,1.0,1.0,1.0,1.0,0.0
32,2,5,1.0,1.0,1.2162162162162162,1.0,0.9736842105263158,0.02631578947368418
32,3,9,2.0,2.0,2.2083333333333335,2.0,0.9473684210526315,0.052631578947368474
32,4,10,2.0,2.0,2.3823529411764706,3.0,0.8947368421052632,0.10526315789473684
32,5,13,3.0,3.0,3.3484848484848486,4.0,0.868421052631579,0.13157894736842102
32,6,14,3.0,4.0,3.727272727272727,4.0,0.868421052631579,0.13157894736842102
32,7,15,3.0,4.0,4.090909090909091,5.0,0.868421052631579,0.13157894736842102
32,8,17,4.0,5.0,5.114754098360656,6.0,0.8026315789473685,0.19736842105263153
32,9,18,5.0,6.0,5.711864406779661,7.0,0.7763157894736842,0.22368421052631582
32,10,19,,,,,0.0,1.0
33,1,3,1.0,1.0,1.0,1.0,1.0,0.0
33,2,8,2.0,2.0,2.1025641025641026,2.0,0.975,0.025000000000000022
33,3,10,2.0,2.0,2.4805194805194803,3.0,0.9625,0.03749999999999998
33,4,12,3.0,3.0,3.012987012987013,3.0,0.9625,0.03749999999999998
33,5,13,3.0,3.0,3.4266666666666667,4.0,0.9375,0.0625
33,6,15,3.0,4.0,4.026666666666666,5.0,0.9375,0.0625
33,7,16,4.0,4.0,4.416666666666667,5.0,0.9,0.09999999999999998
33,8,17,4.0,5.0,4.847222222222222,5.0,0.9,0.09999999999999998
33,9,18,5.0,5.0,5.380281690140845,6.0,0.8875,0.11250000000000004
33,10,19,,,,,0.0,1.0
34,1,3,1.0,1.0,1.0,1.0,1.0,0.0
34,2,6,1.0,1.0,1.4492753623188406,2.0,0.9857142857142858,0.014285714285714235
34,3,9,2.0,2.0,2.1470588235294117,2.0,0.9714285714285714,0.02857142857142858
34,4,12,3.0,3.0,3.0,3.0,0.9428571428571428,0.05714285714285716
34,5,13,3.0,3.0,3.296875,4.0,0.9142857142857143,0.08571428571428574
34,6,14,3.0,3.5,3.609375,4.0,0.9142857142857143,0.08571428571428574
34,7,16,4.0,4.0,4.532258064516129,5.0,0.8857142857142857,0.11428571428571432
34,8,17,5.0,5.0,5.131147540983607,6.0,0.8714285714285714,0.12857142857142856
34,9,18,5.0,6.0,5.779661016949152,6.0,0.8428571428571429,0.15714285714285714
34,10,19,,,,,0.0,1.0
35,1,3,1.0,1.0,1.0,1.0,1.0,0.0
35,2,5,1.0,1.0,1.2777777777777777,2.0,0.972972972972973,0.027027027027026973
35,3,6,1.0,2.0,1.6666666666666667,2.0,0.972972972972973,0.027027027027026973
35,4,9,2.0,2.0,2.3043478260869565,3.0,0.9324324324324325,0.06756756756756754
35,5,11,3.0,3.0,2.9393939393939394,3.0,0.8918918918918919,0.10810810810810811
35,6,13,3.0,4.0,3.640625,4.0,0.8648648648648649,0.1351351351351351
35,7,15,4.0,5.0,4.67741935483871,5.0,0.8378378378378378,0.16216216216216217
35,8,16,5.0,5.0,5.293103448275862,6.0,0.7837837837837838,0.21621621621621623
35,9,18,6.0,7.0,6.696428571428571,7.0,0.7567567567567568,0.2432432432432432
35,10,19,,,,,0.0,1.0
36,1,3,1.0,1.0,1.0,1.0,1.0,0.0
36,2,9,2.0,2.0,2.2058823529411766,2.0,0.9714285714285714,0.02857142857142858
36,3,10,2.0,2.0,2.417910447761194,3.0,0.9571428571428572,0.042857142857142816
36,4,12,3.0,3.0,3.029850746268657,3.0,0.9571428571428572,0.042857142857142816
36,5,13,3.0,3.0,3.390625,4.0,0.9142857142857143,0.08571428571428574
36,6,15,3.75,4.0,4.109375,5.0,0.9142857142857143,0.08571428571428574
36,7,16,4.0,5.0,4.557377049180328,5.0,0.8714285714285714,0.12857142857142856
36,8,17,4.0,5.0,5.081967213114754,6.0,0.8714285714285714,0.12857142857142856
36,9,18,5.0,6.0,5.733333333333333,6.0,0.8571428571428571,0.1428571428571429
36,10,19,,,,,0.0,1.0
37,1,3,1.0,1.0,1.0,1.0,1.0,0.0
37,2,6,1.0,1.0,1.4393939393939394,2.0,0.9850746268656716,0.014925373134328401
37,3,9,2.0,2.0,2.21875,2.0,0.9552238805970149,0.04477611940298509
37,4,12,3.0,3.0,2.9193548387096775,3.0,0.9253731343283582,0.07462686567164178
37,5,13,3.0,3.0,3.2542372881355934,3.5,0.8805970149253731,0.11940298507462688
37,6,14,3.0,3.0,3.4745762711864407,4.0,0.8805970149253731,0.11940298507462688
37,7,16,3.0,4.0,4.245614035087719,5.0,0.8507462686567164,0.14925373134328357
37,8,17,4.0,4.0,4.803571428571429,6.0,0.835820895522388,0.16417910447761197
37,9,18,4.0,5.0,5.407407407407407,6.0,0.8059701492537313,0.19402985074626866
37,10,19,,,,,0.0,1.0
38,1,3,1.0,1.0,1.0,1.0,1.0,0.0
38,2,6,1.0,2.0,1.588235294117647,2.0,0.9714285714285714,0.02857142857142858
38,3,8,2.0,2.0,2.123076923076923,2.0,0.9285714285714286,0.0714285714285714
38,4,10,2.0,2.0,2.5,3.0,0.8857142857142857,0.11428571428571432
38,5,11,2.25,3.0,2.8870967741935485,3.0,0.8857142857142857,0.11428571428571432
38,6,13,3.0,3.0,3.440677966101695,4.0,0.8428571428571429,0.15714285714285714
38,7,15,3.5,4.0,4.169491525423729,5.0,0.8428571428571429,0.15714285714285714
38,8,16,4.0,4.0,4.649122807017544,5.0,0.8142857142857143,0.18571428571428572
38,9,18,5.0,6.0,5.910714285714286,7.0,0.8,0.19999999999999996
38,10,19,,,,,0.0,1.0
39,1,3,1.0,1.0,1.0,1.0,1.0,0.0
39,2,5,1.0,1.0,1.2115384615384615,1.0,0.9629629629629629,0.03703703703703709
39,3,8,2.0,2.0,2.08,2.0,0.9259259259259259,0.07407407407407407
39,4,9,2.0,2.0,2.3,3.0,0.9259259259259259,0.07407407407407407
39,5,12,3.0,3.0,3.25,4.0,0.8888888888888888,0.11111111111111116
39,6,14,4.0,4.0,4.086956521739131,4.0,0.8518518518518519,0.14814814814814814
39,7,15,4.0,5.0,4.608695652173913,5.0,0.8518518518518519,0.14814814814814814
39,8,17,5.0,6.0,5.85,6.0,0.7407407407407407,0.2592592592592593
39,9,18,6.0,7.0,6.527777777777778,7.0,0.6666666666666666,0.33333333333333337
39,10,19,,,,,0.0,1.0
40,1,3,1.0,1.0,1.0,1.0,1.0,0.0
40,2,8,2.0,2.0,2.1346153846153846,2.0,0.9629629629629629,0.03703703703703709
40,3,9,2.0,2.0,2.326923076923077,3.0,0.9629629629629629,0.03703703703703709
40,4,10,2.0,2.0,2.42,3.0,0.9259259259259259,0.07407407407407407
40,5,12,3.0,3.0,3.22,3.75,0.9259259259259259,0.07407407407407407
40,6,14,3.0,4.0,3.872340425531915,4.0,0.8703703703703703,0.12962962962962965
40,7,15,4.0,4.0,4.319148936170213,5.0,0.8703703703703703,0.12962962962962965
40,8,16,4.0,5.0,4.7555555555555555,5.0,0.8333333333333334,0.16666666666666663
40,9,18,5.0,6.0,5.906976744186046,6.0,0.7962962962962963,0.20370370370370372
40,10,19,,,,,0.0,1.0
41,1,3,1.0,1.0,1.0,1.0,1.0,0.0
41,2,5,1.0,1.0,1.1940298507462686,1.0,0.9710144927536232,0.02898550724637683
41,3,9,2.0,2.0,2.230769230769231,2.0,0.9420289855072463,0.05797101449275366
41,4,10,2.0,2.0,2.4193548387096775,3.0,0.8985507246376812,0.10144927536231885
41,5,13,3.0,3.0,3.4745762711864407,4.0,0.855072463768116,0.14492753623188404
41,6,14,3.0,4.0,3.864406779661017,4.0,0.855072463768116,0.14492753623188404
41,7,15,4.0,4.0,4.327586206896552,5.0,0.8405797101449275,0.1594202898550725
41,8,17,4.0,5.0,5.339622641509434,6.0,0.7681159420289855,0.23188405797101452
41,9,18,5.0,6.0,5.84,7.0,0.7246376811594203,0.2753623188405797
41,10,19,,,,,0.0,1.0
42,1,3,1.0,1.0,1.0,1.0,1.0,0.0
42,2,6,1.0,2.0,1.5384615384615385,2.0,0.9811320754716981,0.018867924528301883
42,3,9,2.0,2.0,2.18,2.0,0.9433962264150944,0.05660377358490565
42,4,12,3.0,3.0,2.979591836734694,3.0,0.9245283018867925,0.07547169811320753
42,5,13,3.0,3.0,3.25,3.25,0.9056603773584906,0.09433962264150941
42,6,14,3.0,3.0,3.4791666666666665,4.0,0.9056603773584906,0.09433962264150941
42,7,16,4.0,4.0,4.446808510638298,5.0,0.8867924528301887,0.1132075471698113
42,8,17,4.0,5.0,4.9787234042553195,5.5,0.8867924528301887,0.1132075471698113
42,9,18,5.0,6.0,5.695652173913044,6.0,0.8679245283018868,0.13207547169811318
42,10,19,,,,,0.0,1.0
43,1,3,1.0,1.0,1.0,1.0,1.0,0.0
43,2,9,2.0,2.0,2.1805555555555554,2.0,0.972972972972973,0.027027027027026973
43,3,10,2.0,2.0,2.2857142857142856,3.0,0.9459459459459459,0.05405405405405406
43,4,12,2.25,3.0,2.842857142857143,3.0,0.9459459459459459,0.05405405405405406
43,5,13,3.0,3.0,3.235294117647059,3.0,0.918918918918919,0.08108108108108103
43,6,14,3.0,3.0,3.4705882352941178,4.0,0.918918918918919,0.08108108108108103
43,7,15,3.0,4.0,3.735294117647059,4.0,0.918918918918919,0.08108108108108103
43,8,17,4.0,4.0,4.461538461538462,5.0,0.8783783783783784,0.1216216216216216
43,9,18,4.0,5.0,4.984126984126984,5.0,0.8513513513513513,0.14864864864864868
43,10,19,,,,,0.0,1.0
44,1,3,1.0,1.0,1.0,1.0,1.0,0.0
44,2,6,1.0,1.0,1.4210526315789473,2.0,0.987012987012987,0.012987012987012991
44,3,9,2.0,2.0,2.1866666666666665,2.0,0.974025974025974,0.025974025974025983
44,4,10,2.0,2.0,2.2739726027397262,3.0,0.948051948051948,0.051948051948051965
44,5,12,3.0,3.0,2.904109589041096,3.0,0.948051948051948,0.051948051948051965
44,6,15,3.0,4.0,3.8055555555555554,4.0,0.935064935064935,0.06493506493506496
44,7,16,4.0,4.0,4.285714285714286,5.0,0.9090909090909091,0.09090909090909094
44,8,17,4.0,5.0,4.771428571428571,5.0,0.9090909090909091,0.09090909090909094
44,9,18,5.0,5.0,5.323529411764706,6.0,0.8831168831168831,0.11688311688311692
44,10,19,,,,,0.0,1.0
45,1,3,1.0,1.0,1.0,1.0,1.0,0.0
45,2,6,1.0,1.0,1.4864864864864864,2.0,0.9866666666666667,0.013333333333333308
