x,y,xhat,yhat,belief_id,uncertainty
2,5,4,4,53,3003
2,6,4,4,53,3003
0,0,4,4,54,2576
1,0,4,4,54,2576
0,1,4,4,54,2576
2,0,4,4,54,2576
1,1,4,4,54,2576
0,2,4,4,54,2576
4,0,4,4,54,2576
3,0,4,4,54,2576
3,1,4,4,54,2576
2,1,4,4,54,2576
2,2,4,4,54,2576
1,2,4,4,54,2576
1,3,4,4,54,2576
6,0,4,4,54,2576
5,0,4,4,54,2576
5,1,4,4,54,2576
4,1,4,4,54,2576
4,2,4,4,54,2576
3,2,4,4,54,2576
3,3,4,4,54,2576
2,3,4,4,54,2576
2,4,4,4,54,2576
8,0,4,4,54,2576
7,0,4,4,54,2576
7,1,4,4,54,2576
6,1,4,4,54,2576
6,2,4,4,54,2576
5,2,4,4,54,2576
5,3,4,4,54,2576
4,3,4,4,54,2576
4,4,4,4,54,2576
3,4,4,4,54,2576
3,5,4,4,54,2576
0,0,5,3,55,2135
2,0,5,3,55,2135
1,0,5,3,55,2135
1,1,5,3,55,2135
4,0,5,3,55,2135
3,0,5,3,55,2135
3,1,5,3,55,2135
2,1,5,3,55,2135
2,2,5,3,55,2135
6,0,5,3,55,2135
5,0,5,3,55,2135
5,1,5,3,55,2135
4,1,5,3,55,2135
4,2,5,3,55,2135
3,2,5,3,55,2135
3,3,5,3,55,2135
8,0,5,3,55,2135
7,0,5,3,55,2135
7,1,5,3,55,2135
6,1,5,3,55,2135
6,2,5,3,55,2135
5,2,5,3,55,2135
5,3,5,3,55,2135
4,3,5,3,55,2135
4,4,5,3,55,2135
2,0,5,3,28,1650
4,0,5,3,28,1650
3,0,5,3,28,1650
3,1,5,3,28,1650
6,0,5,3,28,1650
5,0,5,3,28,1650
5,1,5,3,28,1650
4,1,5,3,28,1650
4,2,5,3,28,1650
8,0,5,3,28,1650
7,0,5,3,28,1650
7,1,5,3,28,1650
6,1,5,3,28,1650
6,2,5,3,28,1650
5,2,5,3,28,1650
5,3,5,3,28,1650
4,0,5,1,56,1139
6,0,5,1,56,1139
5,0,5,1,56,1139
5,1,5,1,56,1139
8,0,5,1,56,1139
7,0,5,1,56,1139
7,1,5,1,56,1139
6,1,5,1,56,1139
6,2,5,1,56,1139
6,0,6,0,41,588
8,0,6,0,41,588
7,0,6,0,41,588
7,1,6,0,41,588
8,0,8,0,0,0
9,0,4,5,50,4116
8,1,4,5,50,4116
7,1,7,1,0,0
7,2,4,5,50,4116
5,1,6,2,20,588
7,1,6,2,20,588
6,0,6,2,20,588
6,2,6,2,20,588
6,2,6,2,0,0
6,3,4,5,50,4116
3,1,5,3,29,1136
5,1,5,3,29,1136
4,0,5,3,29,1136
4,2,5,3,29,1136
7,1,5,3,29,1136
6,0,5,3,29,1136
6,2,5,3,29,1136
5,0,5,3,29,1136
5,3,5,3,29,1136
4,2,5,3,20,588
6,2,5,3,20,588
5,1,5,3,20,588
5,3,5,3,20,588
5,3,5,3,0,0
5,4,4,5,50,4116
2,2,4,4,57,1136
4,2,4,4,57,1136
3,1,4,4,57,1136
3,3,4,4,57,1136
6,2,4,4,57,1136
5,1,4,4,57,1136
5,3,4,4,57,1136
4,0,4,4,57,1136
4,4,4,4,57,1136
3,3,4,4,20,588
5,3,4,4,20,588
4,2,4,4,20,588
4,4,4,4,20,588
4,4,4,4,0,0
4,5,4,5,50,4116
0,1,4,4,58,2127
1,1,4,4,58,2127
0,0,4,4,58,2127
0,2,4,4,58,2127
3,1,4,4,58,2127
2,0,4,4,58,2127
2,2,4,4,58,2127
1,0,4,4,58,2127
1,3,4,4,58,2127
5,1,4,4,58,2127
4,0,4,4,58,2127
4,2,4,4,58,2127
3,0,4,4,58,2127
3,3,4,4,58,2127
2,1,4,4,58,2127
2,4,4,4,58,2127
7,1,4,4,58,2127
6,0,4,4,58,2127
6,2,4,4,58,2127
5,0,4,4,58,2127
5,3,4,4,58,2127
4,1,4,4,58,2127
4,4,4,4,58,2127
3,2,4,4,58,2127
3,5,4,4,58,2127
0,2,4,4,59,1650
2,2,4,4,59,1650
1,1,4,4,59,1650
1,3,4,4,59,1650
4,2,4,4,59,1650
3,1,4,4,59,1650
3,3,4,4,59,1650
2,0,4,4,59,1650
2,4,4,4,59,1650
6,2,4,4,59,1650
5,1,4,4,59,1650
5,3,4,4,59,1650
4,0,4,4,59,1650
4,4,4,4,59,1650
3,0,4,4,59,1650
3,5,4,4,59,1650
1,3,4,4,30,1138
3,3,4,4,30,1138
2,2,4,4,30,1138
2,4,4,4,30,1138
5,3,4,4,30,1138
4,2,4,4,30,1138
4,4,4,4,30,1138
3,1,4,4,30,1138
3,5,4,4,30,1138
2,4,4,4,21,588
4,4,4,4,21,588
