map,metric,raw_sigma_candidates,state_count,cluster_frobenius_weighted_mean,cluster_frobenius_weighted_rmse,cluster_frobenius_max,cluster_bures_weighted_mean,cluster_bures_weighted_rmse,cluster_bures_max,transition_frobenius_mean,transition_frobenius_rmse,transition_frobenius_max,transition_bures_mean,transition_bures_rmse,transition_bures_max,unique_gstate_edges,self_loop_fraction,transition_rows
22,frobenius,327,100,0.010353724188558693,0.016546523924611176,0.06076915335924961,0.015445469219110945,0.02817293117637635,0.19748417658131498,0.022189558277455855,0.02917145428201153,0.06172973351635338,0.022018935397226946,0.028433504707802697,0.19748417658131498,316,0.09318840579710144,6900
22,bures_wasserstein,327,100,0.009697711028378825,0.01699493699416338,0.06076915335924963,0.010313781649331413,0.01769736443006695,0.050939092492844076,0.02348196981057669,0.030336040100603968,0.08116618754136477,0.023992804202363962,0.029370985284253637,0.06679749098738173,303,0.09840579710144927,6900
23,frobenius,299,100,0.009346948173490778,0.015650999205143516,0.03989774429714042,0.013794129921557326,0.02715026847181372,0.19748417658131498,0.02224699184633739,0.029041388439014246,0.06172973351635338,0.023185297227895148,0.030097135100443793,0.19748417658131498,321,0.11835616438356164,7300
23,bures_wasserstein,299,100,0.009688259917534189,0.017021188726750014,0.06076915335924963,0.010277648159657895,0.017861378155109298,0.052572838516679536,0.023593496435764236,0.030348122146323507,0.09079851320368632,0.025784515238839945,0.031884659645723394,0.07712458108152029,316,0.11054794520547945,7300
24,frobenius,332,100,0.009063263955315704,0.015246280132330182,0.051217575108550385,0.012949862112742544,0.024065385262772757,0.11929586243396864,0.022652802080842256,0.029395020266290813,0.06172973351635338,0.02364865056239062,0.03058433154811831,0.10472584008723237,364,0.09227848101265823,7900
24,bures_wasserstein,332,100,0.009977727688687927,0.017503360569466782,0.056667803910156946,0.010568051219607754,0.01832485911662709,0.050863559813029334,0.02393172573234866,0.030230938277100713,0.06888446849617115,0.027241032800323597,0.032881060647605556,0.07533329782879326,367,0.09430379746835443,7900
25,frobenius,263,100,0.007758847245544202,0.014514091219591945,0.05337124694065147,0.01129766981865035,0.02406830816677852,0.19748417658131498,0.021763652375289606,0.028834318432111556,0.06172973351635338,0.021797736917986362,0.028605399189211914,0.19748417658131498,337,0.0875,7200
25,bures_wasserstein,263,100,0.007699403135370316,0.015650552632027446,0.06060627030266754,0.008086062128931074,0.0160358193100551,0.05177430499450927,0.02123954093283006,0.028544569803690165,0.06888446849617118,0.023122206100121143,0.02976311341553834,0.08550829036600892,326,0.08,7200
26,frobenius,261,100,0.008226121730121924,0.01442485814139257,0.035595364866791296,0.012409838284328664,0.02609456634703575,0.19748417658131498,0.021683532429408965,0.028126798259450792,0.06172973351635338,0.02227449833579517,0.02896510195344952,0.19748417658131498,366,0.09573770491803278,6100
26,bures_wasserstein,261,100,0.009424633723929323,0.016728434636691072,0.054305800795126834,0.010147889392075626,0.017886619630716038,0.054962425073077414,0.022115717255365312,0.028786214369119215,0.06888446849617118,0.02507685205939329,0.031187590148975774,0.08550829036600892,374,0.0960655737704918,6100
27,frobenius,343,100,0.010835062683075096,0.01740619431523764,0.06076915335924963,0.015327294594389577,0.027250378593228018,0.19748417658131498,0.02331408508150735,0.030633929530203594,0.06172973351635338,0.02348849416092735,0.030271805734316724,0.19748417658131498,342,0.12192307692307693,7800
27,bures_wasserstein,343,100,0.011687796299409142,0.020257228429469927,0.06440403714053958,0.012245689287682113,0.020666076729777244,0.06057807127817656,0.023588153375576536,0.030740580671157477,0.07044898863716924,0.026026095774085992,0.03230515854002769,0.08550829036600892,344,0.11115384615384616,7800
28,frobenius,210,100,0.004966298253051867,0.011336135025531113,0.04193268414971787,0.006816075889580012,0.01634717181448878,0.07232099345029265,0.019711198036064748,0.02778516338645021,0.06172973351635338,0.020041113554212092,0.027705102113271415,0.08263943444974621,307,0.07882352941176471,6800
28,bures_wasserstein,210,100,0.005203717386199579,0.012278703926797458,0.054305800795126834,0.005378033656723816,0.012598447211049421,0.04562204488077487,0.018342144999801174,0.026591732046545226,0.06172973351635338,0.020741545896371723,0.028398942292881306,0.08550829036600892,319,0.06676470588235293,6800
29,frobenius,258,100,0.007517978707640866,0.013574053087362786,0.034878216697532,0.01151804974147491,0.02497041831752284,0.19748417658131498,0.021222398611617004,0.028529721902222208,0.06172973351635338,0.022601150265939396,0.03051206272084996,0.19748417658131498,321,0.11378787878787879,6600
29,bures_wasserstein,258,100,0.007708790375506511,0.01460392422087319,0.06172973351635338,0.008285608873468492,0.015621308733739068,0.04839504428472098,0.021873621808012198,0.029210140362551436,0.07092256340544946,0.024627929602457833,0.03144978327682146,0.08625185783118851,311,0.10681818181818181,6600
30,frobenius,269,100,0.00846911736632934,0.014792622943494073,0.03531019682754545,0.011935908043573154,0.02272075343868435,0.09777618834185971,0.021800277024585542,0.028254345588163112,0.06172973351635338,0.022054536896394986,0.028304331682270766,0.09777618834185971,347,0.082,6500
30,bures_wasserstein,269,100,0.009089651466262224,0.016499257070273433,0.061787053660131756,0.00960956150505883,0.017361358491988305,0.054962425073077414,0.021056944351879745,0.027406975529822294,0.06440403714053958,0.023297018966671617,0.02893276611087435,0.08550829036600892,381,0.07661538461538461,6500
31,frobenius,262,100,0.007269349089253399,0.013767681898442892,0.035310196827545465,0.010605949018181075,0.022981859536957028,0.19748417658131498,0.020944911198585974,0.027908985099342615,0.06172973351635338,0.02112330412092559,0.02789743390740904,0.19748417658131498,340,0.08536231884057971,6900
31,bures_wasserstein,262,100,0.00786415860106734,0.015189333996919846,0.06172973351635338,0.008470359602123776,0.01605609919935858,0.05543027072706774,0.021416473135200138,0.02823921977203506,0.06172973351635338,0.022987900044691853,0.029055514335300455,0.08550829036600892,341,0.08695652173913043,6900
32,frobenius,342,100,0.0111581059709229,0.018274024890369615,0.06440403714053958,0.015900873394861525,0.02916345287655584,0.19748417658131498,0.025570886235162786,0.03234071574249387,0.06172973351635338,0.0263706296384339,0.03338085712502325,0.19748417658131498,321,0.12223684210526316,7600
32,bures_wasserstein,342,100,0.01321675872215294,0.022150282003778728,0.06440403714053958,0.013634906585883478,0.0222308715582238,0.05543027072706774,0.02568296843822209,0.03216503258279989,0.07119417110971937,0.028589075371638628,0.03412953313044327,0.07639472238629155,340,0.12473684210526316,7600
33,frobenius,312,100,0.007658655078548064,0.01372803746564774,0.051217575108550385,0.011138560793543037,0.02193485534238444,0.11929586243396864,0.021818609059569394,0.028616222497037453,0.06172973351635338,0.022993189454276055,0.03000158859500943,0.09777618834185971,371,0.08625,8000
33,bures_wasserstein,312,100,0.010272389518231681,0.017878575326244612,0.058148774707641085,0.011107601039505366,0.019134222696580164,0.05781132155152938,0.023569760752701858,0.029891663281757103,0.06888446849617118,0.027509588616560634,0.033527772144404604,0.08492964435635521,377,0.09675,8000
34,frobenius,293,100,0.008773865295820504,0.015550535816463193,0.058964480833803665,0.012035111433879673,0.02364489638201362,0.19748417658131498,0.023282718334948067,0.029679739794777102,0.06172973351635338,0.023796889220931552,0.029980818468387266,0.19748417658131498,339,0.09457142857142857,7000
34,bures_wasserstein,293,100,0.009055419130445044,0.01699492637195171,0.0647363112943578,0.009747189980812547,0.018140575172797112,0.06834548403105696,0.024231635009859313,0.030868485755817486,0.07264000275330391,0.02653360824687352,0.03246314796057686,0.08550829036600892,334,0.087,7000
35,frobenius,321,100,0.010950645931099892,0.017455540358660565,0.050956059502280986,0.016303797749914223,0.028916124867467367,0.19748417658131498,0.025005574498852705,0.03194683127288705,0.06172973351635338,0.02602375042974084,0.03282007010078076,0.19748417658131498,315,0.125,7400
35,bures_wasserstein,321,100,0.011571705595647073,0.019862222959040502,0.06440403714053958,0.012321948924654682,0.020672840440068223,0.054962425073077414,0.026248993632672357,0.03287413116722535,0.0800752770835044,0.028358976144219485,0.03389724084946214,0.09753528604949088,320,0.10702702702702703,7400
36,frobenius,305,100,0.009229061686390363,0.015500478351435755,0.035310196827545465,0.013965126579019856,0.02726912430998569,0.19748417658131498,0.02324596582815182,0.0296144025047651,0.06172973351635338,0.024076662657820814,0.030772560012305047,0.19748417658131498,341,0.11357142857142857,7000
36,bures_wasserstein,305,100,0.010205731854904017,0.017717750772092693,0.06996291874986343,0.010939926197314579,0.018623159341183245,0.05533366955970861,0.02303961121846423,0.028960619764480455,0.06639578299862124,0.025869195628215904,0.031207182698523798,0.08550829036600892,356,0.09128571428571429,7000
37,frobenius,233,100,0.005448791742166318,0.011557248140958104,0.03384257673404907,0.007720941370171516,0.017477847461991068,0.073725234916584,0.01864193814225647,0.02646122324876295,0.06172973351635338,0.019088283030232384,0.02674024951664661,0.10472584008723237,331,0.07671641791044777,6700
37,bures_wasserstein,233,100,0.007560604640157879,0.016475163171903097,0.054305800795126855,0.007767565866412065,0.016492707921544864,0.056224346988811694,0.019617033292645254,0.027578204540390356,0.06178705366013174,0.021469147937754018,0.02877130724816202,0.08306443965872455,351,0.07582089552238806,6700
38,frobenius,282,100,0.008045719119820962,0.014606413218529688,0.03961843005471068,0.01146299382570717,0.023491262816366886,0.19748417658131498,0.022074160916566308,0.029039559446677188,0.06172973351635338,0.022756544255552524,0.029545910807373572,0.19748417658131498,334,0.08385714285714285,7000
38,bures_wasserstein,282,100,0.01000825205116733,0.017902243370607328,0.0668600777744089,0.010299767056517167,0.017980374495430888,0.05602015311207295,0.02227289788449749,0.02906094986649294,0.07290891577852462,0.025327849001915682,0.03144762881980192,0.08550829036600892,349,0.10357142857142858,7000
39,frobenius,253,100,0.008594347590582928,0.014572985138033102,0.035310196827545465,0.013253501634534395,0.02575515259421857,0.19748417658131498,0.022888520150207353,0.029108250007832577,0.06172973351635338,0.024168870222474343,0.03048689575344325,0.19748417658131498,327,0.10296296296296296,5400
39,bures_wasserstein,253,100,0.00911708957639889,0.016144721144489723,0.05401120254169499,0.010089026837612085,0.017588431243668563,0.046977120210840016,0.023036579070384554,0.029182561827481635,0.0692117042125102,0.025465286079829775,0.031095563666445485,0.0854598499970121,340,0.09481481481481481,5400
40,frobenius,249,100,0.006594209284696294,0.011936543798114738,0.03487821669753201,0.009271870647445897,0.01816834491377478,0.07232099345029265,0.02143837390709466,0.028158232530811084,0.06172973351635338,0.022673443237402623,0.029403492964448018,0.09412100636461031,343,0.08203703703703703,5400
40,bures_wasserstein,249,100,0.007619772132058251,0.014726385406667469,0.06172973351635331,0.008068210000627763,0.015124296250099077,0.04939483248942799,0.021719074316214552,0.028442006167195524,0.06172973351635338,0.02485574185622855,0.031224112328085717,0.08550829036600892,357,0.08648148148148148,5400
41,frobenius,300,100,0.009533993497770461,0.01596842572177347,0.050763865101073634,0.0137067624878657,0.026019071952678885,0.19748417658131498,0.024398431073186885,0.03173021355386472,0.06172973351635338,0.025227979262899256,0.032833334162015886,0.19748417658131498,311,0.12666666666666668,6900
41,bures_wasserstein,300,100,0.010644763845968538,0.01853949593111874,0.06172973351635338,0.011332091287067983,0.019410578887891376,0.0578933270801288,0.024615854041605698,0.03174136675960989,0.07513853871349907,0.026956138875046536,0.03357241933728765,0.10094006495718988,328,0.11652173913043479,6900
