map_id,start_x,start_y,age,xhat,yhat,direction,cnt_e,cnt_w,cnt_n,cnt_s,belief_state,b1,b2,b3,b4,other,gini_uncertainty
84,6,0,4,7,2,north,1,0,3,0,12,88,4,3,3,2,2218
84,6,0,5,7,3,north,1,0,4,0,19,86,4,4,4,2,2552
84,6,0,6,7,4,north,1,0,5,0,26,83,5,5,4,3,3036
84,6,0,7,7,5,north,1,0,6,0,38,81,6,5,5,3,3344
84,6,0,8,7,6,east,2,0,6,0,55,78,7,5,5,5,3792
84,6,0,9,8,6,east,3,0,6,0,76,76,7,5,5,7,4076
84,6,0,10,9,6,north,3,0,7,0,105,74,8,6,5,7,4350
84,6,4,1,6,4,north,0,0,1,0,1,97,1,1,1,0,588
84,6,4,2,6,5,north,0,0,2,0,2,94,2,2,2,0,1152
84,6,4,3,6,6,east,1,0,2,0,7,91,3,2,2,2,1698
84,6,4,4,7,6,east,2,0,2,0,14,88,4,2,2,4,2216
84,6,4,5,8,6,east,3,0,2,0,21,86,4,3,3,4,2554
84,6,4,6,9,6,north,3,0,3,0,31,83,5,3,3,6,3032
84,6,4,7,9,7,north,3,0,4,0,43,81,6,4,3,6,3342
84,6,4,8,9,8,north,3,0,5,0,58,79,7,4,4,6,3642
84,6,5,1,6,5,north,0,0,1,0,1,97,1,1,1,0,588
84,6,5,2,6,6,east,1,0,1,0,4,94,2,1,1,2,1154
84,6,5,3,7,6,east,2,0,1,0,7,91,3,2,2,2,1698
84,6,5,4,8,6,east,3,0,1,0,12,88,4,3,3,2,2218
84,6,5,5,9,6,north,3,0,2,0,21,86,4,3,3,4,2554
84,6,5,6,9,7,north,3,0,3,0,31,83,5,3,3,6,3032
84,6,5,7,9,8,north,3,0,4,0,43,81,6,4,3,6,3342
84,6,6,1,6,6,east,1,0,0,0,1,97,1,1,1,0,588
84,6,6,2,7,6,east,2,0,0,0,2,94,2,2,2,0,1152
84,6,6,3,8,6,east,3,0,0,0,5,91,3,3,3,0,1692
84,6,6,4,9,6,north,3,0,1,0,12,88,4,3,3,2,2218
84,6,6,5,9,7,north,3,0,2,0,21,86,4,3,3,4,2554
84,6,6,6,9,8,north,3,0,3,0,31,83,5,3,3,6,3032
84,6,7,1,6,7,south,0,0,0,1,1,97,1,1,1,0,588
84,6,7,2,6,6,east,1,0,0,1,4,94,2,1,1,2,1154
84,6,7,3,7,6,east,2,0,0,1,7,91,3,2,2,2,1698
84,6,7,4,8,6,east,3,0,0,1,12,88,4,3,3,2,2218
84,6,7,5,9,6,north,3,0,1,1,21,86,4,3,3,4,2554
84,6,7,6,9,7,north,3,0,2,1,32,83,4,4,3,6,3034
84,6,7,7,9,8,north,3,0,3,1,44,81,5,3,3,8,3332
84,6,8,1,6,8,south,0,0,0,1,1,97,1,1,1,0,588
84,6,8,2,6,7,south,0,0,0,2,2,94,2,2,2,0,1152
84,6,8,3,6,6,east,1,0,0,2,7,91,3,2,2,2,1698
84,6,8,4,7,6,east,2,0,0,2,14,88,4,2,2,4,2216
84,6,8,5,8,6,east,3,0,0,2,21,86,4,3,3,4,2554
84,6,8,6,9,6,north,3,0,1,2,32,83,4,4,3,6,3034
84,6,8,7,9,7,north,3,0,2,2,40,81,4,4,3,8,3334
84,6,8,8,9,8,north,3,0,3,2,60,79,5,4,3,9,3628
84,7,0,1,7,0,north,0,0,1,0,1,97,1,1,1,0,588
84,7,0,2,7,1,north,0,0,2,0,2,94,2,2,2,0,1152
84,7,0,3,7,2,north,0,0,3,0,5,91,3,3,3,0,1692
84,7,0,4,7,3,north,0,0,4,0,9,88,4,4,4,0,2208
84,7,0,5,7,4,north,0,0,5,0,16,86,5,4,4,1,2546
84,7,0,6,7,5,north,0,0,6,0,22,83,6,5,5,1,3024
84,7,0,7,7,6,east,1,0,6,0,38,81,6,5,5,3,3344
84,7,0,8,8,6,east,2,0,6,0,55,78,7,5,5,5,3792
84,7,0,9,9,6,north,2,0,7,0,68,76,7,6,6,5,4078
84,7,0,10,9,7,north,2,0,8,0,101,74,8,7,6,5,4350
84,7,1,1,7,1,north,0,0,1,0,1,97,1,1,1,0,588
84,7,1,2,7,2,north,0,0,2,0,2,94,2,2,2,0,1152
84,7,1,3,7,3,north,0,0,3,0,5,91,3,3,3,0,1692
84,7,1,4,7,4,north,0,0,4,0,9,88,4,4,4,0,2208
84,7,1,5,7,5,north,0,0,5,0,16,86,5,4,4,1,2546
84,7,1,6,7,6,east,1,0,5,0,26,83,5,5,4,3,3036
84,7,1,7,8,6,east,2,0,5,0,41,81,6,4,4,5,3346
84,7,1,8,9,6,north,2,0,6,0,55,78,7,5,5,5,3792
84,7,1,9,9,7,north,2,0,7,0,68,76,7,6,6,5,4078
84,7,1,10,9,8,north,2,0,8,0,101,74,8,7,6,5,4350
84,7,2,1,7,2,north,0,0,1,0,1,97,1,1,1,0,588
84,7,2,2,7,3,north,0,0,2,0,2,94,2,2,2,0,1152
84,7,2,3,7,4,north,0,0,3,0,5,91,3,3,3,0,1692
84,7,2,4,7,5,north,0,0,4,0,9,88,4,4,4,0,2208
84,7,2,5,7,6,east,1,0,4,0,19,86,4,4,4,2,2552
84,7,2,6,8,6,east,2,0,4,0,28,83,5,4,4,4,3038
84,7,2,7,9,6,north,2,0,5,0,41,81,6,4,4,5,3346
84,7,2,8,9,7,north,2,0,6,0,55,78,7,5,5,5,3792
84,7,2,9,9,8,north,2,0,7,0,68,76,7,6,6,5,4078
84,7,3,1,7,3,north,0,0,1,0,1,97,1,1,1,0,588
84,7,3,2,7,4,north,0,0,2,0,2,94,2,2,2,0,1152
84,7,3,3,7,5,north,0,0,3,0,5,91,3,3,3,0,1692
84,7,3,4,7,6,east,1,0,3,0,12,88,4,3,3,2,2218
84,7,3,5,8,6,east,2,0,3,0,21,86,4,3,3,4,2554
84,7,3,6,9,6,north,2,0,4,0,28,83,5,4,4,4,3038
84,7,3,7,9,7,north,2,0,5,0,41,81,6,4,4,5,3346
84,7,3,8,9,8,north,2,0,6,0,55,78,7,5,5,5,3792
84,7,4,1,7,4,north,0,0,1,0,1,97,1,1,1,0,588
84,7,4,2,7,5,north,0,0,2,0,2,94,2,2,2,0,1152
84,7,4,3,7,6,east,1,0,2,0,7,91,3,2,2,2,1698
84,7,4,4,8,6,east,2,0,2,0,14,88,4,2,2,4,2216
84,7,4,5,9,6,north,2,0,3,0,21,86,4,3,3,4,2554
84,7,4,6,9,7,north,2,0,4,0,28,83,5,4,4,4,3038
84,7,4,7,9,8,north,2,0,5,0,41,81,6,4,4,5,3346
84,7,5,1,7,5,north,0,0,1,0,1,97,1,1,1,0,588
84,7,5,2,7,6,east,1,0,1,0,4,94,2,1,1,2,1154
84,7,5,3,8,6,east,2,0,1,0,7,91,3,2,2,2,1698
84,7,5,4,9,6,north,2,0,2,0,14,88,4,2,2,4,2216
84,7,5,5,9,7,north,2,0,3,0,21,86,4,3,3,4,2554
84,7,5,6,9,8,north,2,0,4,0,28,83,5,4,4,4,3038
84,7,6,1,7,6,east,1,0,0,0,1,97,1,1,1,0,588
84,7,6,2,8,6,east,2,0,0,0,2,94,2,2,2,0,1152
84,7,6,3,9,6,north,2,0,1,0,7,91,3,2,2,2,1698
84,7,6,4,9,7,north,2,0,2,0,14,88,4,2,2,4,2216
84,7,6,5,9,8,north,2,0,3,0,21,86,4,3,3,4,2554
