h,map,raw_sigma_states,quantized_sigma_states,gvar_max,reduction_absolute,reduction_percent,mean_frobenius_error,rmse_frobenius_error,max_frobenius_error,weighted_mean_frobenius_error,weighted_rmse_frobenius_error
0.025,59,574,434,433,140,24.390243902439025,0.013332641690524717,0.01396158243080366,0.022483549541831703,0.011979133735306097,0.013065448752945082
0.025,60,409,289,288,120,29.339853300733495,0.01354851378731427,0.014225545223973509,0.023043437243605833,0.010926529398647118,0.012134869343988853
0.025,61,462,371,370,91,19.696969696969695,0.013538353493179589,0.014155405251546058,0.023255321971540177,0.011718754899874525,0.012897814673856344
0.025,62,485,343,342,142,29.278350515463917,0.013567705859039084,0.014268039404683752,0.023035190470234904,0.011481396628670076,0.01271200840859523
0.025,63,440,344,343,96,21.818181818181817,0.01328748783372079,0.013949734438658358,0.022483549541831703,0.01179656654025167,0.01298415084158078
0.025,64,476,371,370,105,22.058823529411764,0.013823988346987486,0.014448570776342954,0.0231352544831476,0.012563723202735032,0.01372572905353461
0.025,65,535,389,388,146,27.289719626168225,0.013630751890642712,0.014296543599013872,0.023452291998864453,0.011811842516947006,0.012973615394125374
0.025,66,524,398,397,126,24.045801526717558,0.013824775638070231,0.014445538020520047,0.023255321971540177,0.012383060928899568,0.013505763975766269
0.025,67,458,345,344,113,24.67248908296943,0.013363929415931872,0.01403350560180821,0.022652152215628392,0.011423325097213591,0.012625033527555734
0.025,68,452,330,329,122,26.991150442477878,0.01291210124830768,0.01359063967315975,0.023121418641597266,0.011009296725217063,0.012140156623948743
0.025,69,450,347,346,103,22.88888888888889,0.01350254818386602,0.014183548372831265,0.023452291998864453,0.011678494792567835,0.012809632059949791
0.025,70,522,395,394,127,24.32950191570881,0.013255740079042419,0.013891286996032084,0.022459964381093763,0.01104139898063141,0.012176187347420486
0.025,71,439,350,349,89,20.273348519362187,0.013485967894171787,0.014095830495491601,0.022757196663912745,0.011642837061441645,0.01284797779159559
0.025,72,484,403,402,81,16.735537190082646,0.01381521663113264,0.014438550326718745,0.022312552520946598,0.011861497864289828,0.013021952249765396
0.025,73,444,347,346,97,21.846846846846848,0.0133517431463889,0.014035820487479766,0.023255321971540177,0.011340248138315958,0.012547625683150735
0.025,74,576,416,415,160,27.77777777777778,0.013559464968850729,0.01417599753985588,0.022280933553152544,0.011867524922700162,0.012971670958699074
0.025,75,406,315,314,91,22.413793103448278,0.01327292021606296,0.013870059365339053,0.021242410409367394,0.01124060936618668,0.012403747291036823
0.025,76,512,358,357,154,30.078125,0.013370171740618091,0.013934947215768339,0.021811694111187302,0.011808511826470115,0.012913044465336263
0.025,77,463,338,337,125,26.997840172786177,0.013204870231107616,0.013922502257657237,0.02159861106645513,0.011249982984365983,0.012446343375250182
0.025,78,417,327,326,90,21.58273381294964,0.013471154216051558,0.01418829693036387,0.02391693960355296,0.011200095527555083,0.012445227624322259
0.025,79,393,334,333,59,15.012722646310433,0.013811964776753598,0.014471190999939952,0.02345399752707415,0.01169027214113307,0.012969409962339914
0.025,80,493,365,364,128,25.963488843813387,0.0137539404281142,0.014324891455539274,0.02335872428023414,0.012408303637226692,0.013477643664658177
0.025,81,339,275,274,64,18.87905604719764,0.013409815708816003,0.014117485340186597,0.022427661492005806,0.011146730949422428,0.01247608056269662
0.025,82,728,540,539,188,25.824175824175825,0.01366739088664516,0.014337141020348594,0.023452291998864453,0.012348408457482309,0.01341710829779495
0.025,83,431,339,338,92,21.34570765661253,0.013275401492815033,0.013951355662658245,0.02211877030940013,0.011145094136184227,0.012321939368392437
0.025,84,397,301,300,96,24.181360201511335,0.013416639150474198,0.014013991748802924,0.02211877030940013,0.011212389162858804,0.012436572934460951
0.025,85,416,336,335,80,19.23076923076923,0.013215637592457962,0.013867190283044143,0.021784857125994643,0.011294226683817995,0.012535501173037499
0.025,86,294,237,236,57,19.387755102040817,0.012984565867101385,0.013664597487295262,0.023255321971540177,0.010716640327757864,0.01196426613387287
0.025,87,438,342,341,96,21.91780821917808,0.013419011395197428,0.014078284875041813,0.022652152215628392,0.011573839485806075,0.012788202295173606
0.025,88,448,353,352,95,21.205357142857142,0.01320863744962151,0.013858109088183714,0.022459964381093763,0.010969804629227826,0.012178547641394753
0.025,89,423,321,320,102,24.113475177304963,0.013042407793625478,0.013643217211732905,0.021242410409367394,0.010924520945275388,0.012029148683169736
0.025,90,537,406,405,131,24.394785847299815,0.013502657621304256,0.01411499394274487,0.0231352544831476,0.011677688540370013,0.012770350469217354
0.025,91,419,323,322,96,22.911694510739856,0.013453261106228137,0.014194364238445188,0.023255321971540194,0.011265353799388107,0.01247519501773994
0.025,92,447,345,344,102,22.818791946308725,0.013280415477539238,0.01391119887496051,0.023043437243605833,0.011226507187363264,0.012409709113500214
0.025,93,462,373,372,89,19.264069264069263,0.013720757659407279,0.014405712250858873,0.023365572965369372,0.011586101041265059,0.012847368122070043
0.025,94,372,306,305,66,17.741935483870968,0.013780959956669498,0.014412296870217075,0.024110578591149595,0.011684239283183736,0.01294069606003277
0.025,95,396,328,327,68,17.171717171717173,0.013530275099414022,0.014137365419698998,0.022652152215628392,0.011879569134539431,0.013089241806072184
0.025,96,370,306,305,64,17.2972972972973,0.013426213910321508,0.01402770039523152,0.023365572965369372,0.011732143796156003,0.013007278136712168
0.025,97,435,302,301,133,30.57471264367816,0.013409751593820851,0.014040987619584786,0.022459964381093763,0.011046852462696119,0.012189347276154778
0.025,98,363,302,301,61,16.804407713498623,0.01350758705762597,0.014242203415438281,0.023255321971540177,0.01134460812328875,0.012719230600459654
0.025,99,515,396,395,119,23.106796116504853,0.013407379009177017,0.014046288249649194,0.022757196663912745,0.011560023975113926,0.012730353095154532
0.05,10,389,153,152,236,60.66838046272493,0.02722292880212333,0.028587945758195392,0.04458564791499616,0.023534479901705742,0.026049553316429917
0.05,11,399,172,171,227,56.8922305764411,0.026505195575549596,0.027833667249959237,0.04524632581768383,0.023174397413517504,0.02579073779964428
0.05,12,456,160,159,296,64.91228070175438,0.024190203388322083,0.02555594096137046,0.043886330445823345,0.02091088251479005,0.02310341550021075
0.05,13,432,181,180,251,58.101851851851855,0.025505020033266487,0.02686549142728696,0.04425923632418435,0.021884332854716193,0.024209861907652515
0.05,14,539,217,216,322,59.74025974025974,0.026778833164207653,0.028120005885193235,0.04455120649320285,0.024425727895438544,0.02679473405474828
0.05,15,327,142,141,185,56.57492354740061,0.024982899386473852,0.026264048519760195,0.043886330445823345,0.02127430921530914,0.023730947629611438
0.05,16,462,185,184,277,59.95670995670996,0.027725551187743894,0.02909023467156553,0.04455120649320285,0.02403878902879787,0.02652987349325581
0.05,17,438,170,169,268,61.18721461187214,0.025372770540619028,0.026826428392053472,0.04425923632418435,0.02162585592320698,0.02397731225059287
0.05,18,445,171,170,274,61.57303370786517,0.026103775332958806,0.02746186323948668,0.043886330445823345,0.021862712373567916,0.02414790950532409
0.05,19,513,202,201,311,60.62378167641326,0.02727819085774796,0.028595628014094508,0.044878502648818444,0.023927696882146972,0.026290519597467955
0.05,20,395,175,174,220,55.69620253164557,0.026932890833008184,0.028168236892291525,0.043886330445823345,0.023447541995885255,0.026034442801442237
0.05,21,364,178,177,186,51.0989010989011,0.027011775350351926,0.02836253429523446,0.043886330445823345,0.022297385583301906,0.024836151994829837
0.05,22,647,236,235,411,63.523956723338486,0.026813323533979305,0.02810011303172412,0.04455120649320285,0.02433630333846513,0.026559958693165398
0.05,23,453,180,179,273,60.264900662251655,0.02624569720159758,0.02764125791408284,0.043935748542616185,0.022658830687284737,0.025170690619746014
0.05,24,530,189,188,341,64.33962264150944,0.026799983936178638,0.028051908756903863,0.043886330445823345,0.02378822175203037,0.02609981572275029
0.05,25,433,183,182,250,57.736720554272516,0.025975322136329144,0.02719294883812164,0.04455120649320285,0.022178342715966255,0.024290063889216174
0.05,26,347,147,146,200,57.636887608069166,0.027248303202825376,0.028532668975181093,0.043970217193004604,0.0226508814409862,0.025348023651367825
0.05,27,513,204,203,309,60.23391812865497,0.026961004863454312,0.028236069034869384,0.04455120649320285,0.023609857674354112,0.025953474276177762
0.05,28,318,139,138,179,56.289308176100626,0.02374540661554166,0.02522781608468153,0.043886330445823345,0.020267717224683207,0.022548184239534672
0.05,29,412,182,181,230,55.8252427184466,0.027974582044600352,0.029270219963283994,0.04425923632418435,0.024347620341099965,0.026854591616874205
0.05,30,425,162,161,263,61.88235294117647,0.026314176539952334,0.027688129968932003,0.04610032537846135,0.023569514032630228,0.026023143455914447
0.05,31,400,164,163,236,59.0,0.02645181245564197,0.027907974666750716,0.04425923632418435,0.02227375908145739,0.02472686797797085
