map_id,requested_k,effective_k,raw_unique_beliefs,raw_occurrences,sw2_mean,sw2_p95,sw2_max,mse_abs_mean,mse_rel_mean,urc_level_disagreement,transition_mismatch_rate,transition_mismatches,transition_occurrences,ambiguous_transition_keys,transition_key_count
49,200,200,549,737,0.025946690165112356,0.1106683710647242,0.14721357796645182,0.011393568185182563,0.042399395930322895,0.21166892808683854,0.02727272727272727,18,660,16,623
50,50,50,497,655,0.08037290697174489,0.16534142771614674,0.20854220034844892,0.038009338252478785,0.10631992737590513,0.46564885496183206,0.15136054421768708,89,588,69,376
50,75,75,497,655,0.0646814714011286,0.1586757079350904,0.19517611455088005,0.03082216624939562,0.08906051438545394,0.3984732824427481,0.12414965986394558,73,588,67,437
50,100,100,497,655,0.05197690518938246,0.1420196100414872,0.1975680542002906,0.02435112257042961,0.0682559535044728,0.3450381679389313,0.11054421768707483,65,588,59,474
50,125,125,497,655,0.04353018005672118,0.13467926369004696,0.1584447167052579,0.019907684188817207,0.058194325777101506,0.30381679389312977,0.08333333333333333,49,588,41,513
50,150,150,497,655,0.03766709146319952,0.12806310692539644,0.15719869742381265,0.01779617209214755,0.050346937095151256,0.2534351145038168,0.07142857142857142,42,588,39,520
50,175,175,497,655,0.031198897329297204,0.1258671184540948,0.15294473436118886,0.014641955745325713,0.041344423048121984,0.2198473282442748,0.05442176870748299,32,588,31,539
50,200,200,497,655,0.026388999247205967,0.1157479029013736,0.13965474887214488,0.012505345769592871,0.03753099595966954,0.2015267175572519,0.04081632653061224,24,588,22,551
51,50,50,520,713,0.07587933798577264,0.17838845372215703,0.24046860593061925,0.03205947502486593,0.08713865618152966,0.4067321178120617,0.128125,82,640,65,454
51,75,75,520,713,0.061391305217856115,0.1523939310398114,0.20453518309508628,0.02586719904992915,0.07324827442069948,0.35624123422159887,0.1078125,69,640,64,502
51,100,100,520,713,0.04926686083741631,0.1415231861663397,0.202277624105058,0.020783934425165466,0.06083396031822028,0.2847124824684432,0.0671875,43,640,37,553
51,125,125,520,713,0.042968665110739636,0.13049012977802749,0.1839315146253649,0.020211549309450145,0.056852179328381304,0.2861150070126227,0.0796875,51,640,48,558
51,150,150,520,713,0.037507196714605014,0.12801093112156328,0.16307338075424693,0.017066574830954695,0.046073614683324986,0.23983169705469845,0.075,48,640,44,568
51,175,175,520,713,0.032273874226314614,0.1247144044130225,0.15959091555382715,0.014977112232281958,0.04217139542994038,0.22159887798036465,0.0703125,45,640,42,571
51,200,200,520,713,0.0263068383038734,0.11885922459167851,0.1714855583700162,0.012350441466600562,0.038357441308721665,0.18513323983169705,0.040625,26,640,25,601
52,50,50,440,623,0.07265545680921467,0.1642881795629114,0.2098285224340548,0.032645836606738796,0.10036877295601238,0.41091492776886035,0.1286231884057971,71,552,61,387
52,75,75,440,623,0.056641219364363435,0.1483819590581216,0.2000053164149581,0.026848664773005713,0.07973982568010801,0.36276083467094705,0.1213768115942029,67,552,56,421
52,100,100,440,623,0.04767612909140136,0.1433123273263683,0.17621201784591622,0.021804876554404707,0.06691128547471877,0.3258426966292135,0.09057971014492754,50,552,46,473
52,125,125,440,623,0.03668940857728757,0.13168460012196792,0.1620344921390203,0.01724259251842405,0.05248450740360603,0.24879614767255218,0.06340579710144928,35,552,28,489
52,150,150,440,623,0.030605525658847124,0.1236147659856018,0.1696828313301535,0.014909034362124924,0.04423573631961706,0.2086677367576244,0.043478260869565216,24,552,22,502
52,175,175,440,623,0.0267102342157666,0.11900188023881136,0.1475482883603565,0.012333058253582926,0.040416895723251044,0.2086677367576244,0.041666666666666664,23,552,22,518
52,200,200,440,623,0.02114092049700894,0.11245327924311374,0.13508146981602973,0.009426991976915655,0.0291729222928214,0.16211878009630817,0.030797101449275364,17,552,14,528
53,50,50,497,673,0.09079202031044054,0.18292886824692947,0.23441350574948813,0.03969097292112931,0.11808729779811887,0.4710252600297177,0.19008264462809918,115,605,90,377
53,75,75,497,673,0.06985726648873393,0.17051570899003865,0.24022459991184064,0.032867286288750616,0.09892668024256726,0.40416047548291234,0.14049586776859505,85,605,72,437
53,100,100,497,673,0.05801222141647695,0.1490767736914082,0.1911892708414874,0.02714537996988226,0.07433149748951501,0.37444279346210996,0.12727272727272726,77,605,71,487
53,125,125,497,673,0.04905682475374927,0.13877397314811585,0.18919623762967056,0.023832762715812045,0.06586658336766889,0.35661218424962854,0.09421487603305785,57,605,55,519
53,150,150,497,673,0.039928610733268276,0.1354401248293974,0.1806985873414928,0.01959485515911414,0.054771332456435846,0.2867756315007429,0.05950413223140496,36,605,33,544
53,175,175,497,673,0.03569355192275703,0.13410430496453352,0.16280303739503413,0.01732420898593756,0.04944856885335569,0.23922734026745915,0.07272727272727272,44,605,42,544
53,200,200,497,673,0.028485304434808394,0.12665724232898934,0.14834346577988178,0.014142181165107282,0.03432449282997382,0.1827637444279346,0.06446280991735537,39,605,36,550
54,50,50,545,738,0.07737582844896951,0.1737170640368399,0.2098234654430131,0.03668391759571742,0.10789690315179086,0.44037940379403795,0.165402124430956,109,659,94,454
54,75,75,545,738,0.06241627893265226,0.15186857496048706,0.19486676069717532,0.02855886424777292,0.08535108855528019,0.38482384823848237,0.1274658573596358,84,659,75,519
54,100,100,545,738,0.04963369725303802,0.14764505785016405,0.20419083288380002,0.021060021595927608,0.059562083443418845,0.28319783197831977,0.08042488619119878,53,659,44,567
54,125,125,545,738,0.04107378323330661,0.13322471374667064,0.16469362100840146,0.01737854688257195,0.05461902981553863,0.25609756097560976,0.05007587253414264,33,659,28,596
54,150,150,545,738,0.036691881007769385,0.13138790017303767,0.16149196517959483,0.01564022952837742,0.0489368231263676,0.22899728997289973,0.054628224582701064,36,659,34,596
54,175,175,545,738,0.030582076384793246,0.1157479434751543,0.14739886528837984,0.013737681967510074,0.04199526641440924,0.2073170731707317,0.04400606980273141,29,659,25,607
54,200,200,545,738,0.026666296119095257,0.11282781386270253,0.15102106416357874,0.011574720776688786,0.036341664170047513,0.17344173441734417,0.03945371775417299,26,659,24,612
55,50,50,508,671,0.08112752889951101,0.1728790921220272,0.22289150313706796,0.03629546563509356,0.10794338592680681,0.4873323397913562,0.14403973509933773,87,604,69,421
55,75,75,508,671,0.06577534763718851,0.16056643037738197,0.21999760315863648,0.028076327612082275,0.08108217659058836,0.39940387481371087,0.09105960264900662,55,604,50,478
55,100,100,508,671,0.055752409948876175,0.15278559877698883,0.19549230764109474,0.0246778336048282,0.07187986833675802,0.3591654247391952,0.10264900662251655,62,604,55,501
55,125,125,508,671,0.04709481841788227,0.13814221350849737,0.18362687034618141,0.020862720438564134,0.060365290489348286,0.30998509687034276,0.08774834437086093,53,604,48,522
55,150,150,508,671,0.04077727865222011,0.1282504659465197,0.172555261625233,0.017284335087449663,0.05335385670898389,0.28017883755588674,0.061258278145695365,37,604,36,538
55,175,175,508,671,0.035362801541753856,0.123369463806063,0.15087609788605746,0.015006112851031064,0.04641283591906404,0.2399403874813711,0.04470198675496689,27,604,27,544
55,200,200,508,671,0.02917720025719404,0.11790057127366038,0.14921508446565804,0.01285748815173025,0.03999970704760347,0.20864381520119224,0.0380794701986755,23,604,22,555
56,50,50,356,497,0.07651306477530913,0.16301650900199458,0.21588544244835434,0.03501965886413726,0.1071394226407518,0.4688128772635815,0.16853932584269662,75,445,64,301
56,75,75,356,497,0.05893476113991525,0.15136056367898254,0.1960387882193112,0.023759747052918355,0.06837069481814924,0.3440643863179074,0.10786516853932585,48,445,41,349
56,100,100,356,497,0.04859369200264177,0.13106784632232413,0.17027337343060933,0.02111746760521558,0.06162788624981139,0.3380281690140845,0.0898876404494382,40,445,38,370
56,125,125,356,497,0.039435740831703404,0.1296161195254902,0.17211250373296583,0.01712239861228891,0.04862272509020421,0.2776659959758551,0.051685393258426963,23,445,21,395
56,150,150,356,497,0.03163030940588893,0.12047798091810905,0.1588467544048001,0.013524669883235117,0.04116089655052532,0.21730382293762576,0.05393258426966292,24,445,22,404
56,175,175,356,497,0.023180630755890292,0.1121409543947992,0.14590484351108668,0.009454519255765757,0.028381387805382737,0.1529175050301811,0.04269662921348315,19,445,18,418
56,200,200,356,497,0.01788524880898869,0.11085109599069908,0.14059916276553563,0.008073504176013867,0.022033305299514867,0.14084507042253522,0.035955056179775284,16,445,16,421
57,50,50,524,704,0.07311166099996463,0.17273833874232405,0.22089008898473564,0.03426839569186346,0.09821350643123007,0.4559659090909091,0.14444444444444443,91,630,73,448
57,75,75,524,704,0.06260158896358158,0.16163817307488865,0.21448411126899866,0.029531886353079614,0.08827912109546794,0.42045454545454547,0.1365079365079365,86,630,74,488
57,100,100,524,704,0.047666865267240975,0.1412984755864126,0.22082379582890482,0.021955904648428424,0.06917035561821555,0.359375,0.08571428571428572,54,630,47,527
57,125,125,524,704,0.039747372087970974,0.1289417279199745,0.17772917423797177,0.01710640756042564,0.05576936160319723,0.3068181818181818,0.05873015873015873,37,630,35,566
57,150,150,524,704,0.03446434899967988,0.12762819785840696,0.1571886581090928,0.015308100371261901,0.04753974039231774,0.2556818181818182,0.05873015873015873,37,630,35,563
57,175,175,524,704,0.028549187092615055,0.12249297746947377,0.1651024506644945,0.01264994654983359,0.03756456927735055,0.22585227272727273,0.03333333333333333,21,630,19,583
57,200,200,524,704,0.02350952049260742,0.10789022737051224,0.13651561166355924,0.010367876819456098,0.035235581790473085,0.2059659090909091,0.03650793650793651,23,630,22,590
58,50,50,460,650,0.07798809104544216,0.1721845449401009,0.25119020051561,0.03478933620419348,0.10599421774569402,0.46923076923076923,0.1423611111111111,82,576,73,392
58,75,75,460,650,0.06458305610320127,0.15381698091464757,0.2055374098963746,0.027542598853774834,0.08308651636039886,0.4307692307692308,0.109375,63,576,52,435
58,100,100,460,650,0.05419979519368725,0.14249271746179035,0.18780718703216628,0.02431436397698212,0.07565842321166329,0.39076923076923076,0.10069444444444445,58,576,51,465
58,125,125,460,650,0.04423515583307285,0.1322932527347052,0.18203231833912592,0.02052522349982436,0.06516915293687803,0.33692307692307694,0.08159722222222222,47,576,42,489
58,150,150,460,650,0.037133216142437864,0.12612679401284657,0.16150926907345672,0.01661355296369405,0.047239592551671594,0.28923076923076924,0.05555555555555555,32,576,28,522
58,175,175,460,650,0.032072964360463835,0.12333402483338542,0.1658623628135516,0.014482400190185252,0.043622999539334545,0.25846153846153846,0.05555555555555555,32,576,29,525
58,200,200,460,650,0.026754322911707585,0.11586572618074782,0.13662970107726277,0.011330613790626796,0.03255275125857141,0.20923076923076922,0.03819444444444445,22,576,20,533
59,50,50,459,622,0.08072113590468658,0.17104183880985374,0.22234379859389763,0.037928412192697554,0.10549039053373489,0.45980707395498394,0.17204301075268819,96,558,82,361
59,75,75,459,622,0.06679184267581909,0.15237919038616804,0.19981906169204314,0.03160093498894688,0.08845401494235344,0.41961414790996787,0.13440860215053763,75,558,68,414
59,100,100,459,622,0.055733326389357976,0.14313836913421563,0.18756474994424727,0.024634853255005255,0.06836041864459662,0.3408360128617363,0.1111111111111111,62,558,57,444
59,125,125,459,622,0.04449886379179357,0.133236722691823,0.17703569696909763,0.01931530112801515,0.054049520569392634,0.2909967845659164,0.05734767025089606,32,558,28,494
59,150,150,459,622,0.03712879401783758,0.12646692576380072,0.15701359101580115,0.017431667091931124,0.04737153294329484,0.2572347266881029,0.04659498207885305,26,558,24,504
59,175,175,459,622,0.03313452708821763,0.12724519524683667,0.1519583244487586,0.014877788761187392,0.03943615877538067,0.21221864951768488,0.04659498207885305,26,558,25,509
59,200,200,459,622,0.029019491618799725,0.11885922459167828,0.14724403210301393,0.013183547630697928,0.036994594148412975,0.21543408360128619,0.053763440860215055,30,558,27,514
60,50,50,544,709,0.07905904111332734,0.17652144727987404,0.22478740675381917,0.03732814692413673,0.10797360523985731,0.46685472496473907,0.17425431711145997,111,637,92,434
60,75,75,544,709,0.06279787450538973,0.15511826136991091,0.19470505408818042,0.02994176701999023,0.08886015632200733,0.4033850493653032,0.14442700156985872,92,637,77,485
60,100,100,544,709,0.05094682990682566,0.14337457309841967,0.21674353953381267,0.02396362938996011,0.07218832936113179,0.3427362482369535,0.10047095761381476,64,637,62,522
60,125,125,544,709,0.04287169407575152,0.1400096729171736,0.18124760231242795,0.020178269874882703,0.06312854891517504,0.3032440056417489,0.0847723704866562,54,637,53,544
60,150,150,544,709,0.03841910408257842,0.13092918388860394,0.1651024506644945,0.018521220817466717,0.05872795854292387,0.2736248236953456,0.07378335949764521,47,637,45,558
60,175,175,544,709,0.0324932152752459,0.12665724232898945,0.15696455712161442,0.01563025279479342,0.04658375958687225,0.23554301833568406,0.07221350078492936,46,637,43,568
60,200,200,544,709,0.026194340330980188,0.11355517959635224,0.15295144650549086,0.012645511406579423,0.04311805564717346,0.2073342736248237,0.04709576138147567,30,637,30,595
61,50,50,476,664,0.07850704145397497,0.17117884281172843,0.21344666806947488,0.03554238086912529,0.10051949587992902,0.45481927710843373,0.15345699831365936,91,593,66,415
61,75,75,476,664,0.06158629043645663,0.15199540533019337,0.2079377941882811,0.028252899178384666,0.0805548930959473,0.4066265060240964,0.12984822934232715,77,593,60,452
61,100,100,476,664,0.049482919547298505,0.14101867354502878,0.17655652563324392,0.022801988006944055,0.06469110206565869,0.35843373493975905,0.07588532883642496,45,593,40,489
61,125,125,476,664,0.04057652313258189,0.12928778635884633,0.17421071556893858,0.018356328295415204,0.053897556160313685,0.2921686746987952,0.06913996627318718,41,593,39,521
61,150,150,476,664,0.03531394027755345,0.127964688093487,0.16163817307488865,0.016840569611119526,0.04647856786395582,0.25,0.06408094435075885,38,593,35,528
61,175,175,476,664,0.030180340471816315,0.12371397551880027,0.17569370497452438,0.014078339536526811,0.04176095551035366,0.22289156626506024,0.045531197301854974,27,593,27,546
61,200,200,476,664,0.023793389181221793,0.11795105445744092,0.1479242008424219,0.01136695498037351,0.030023862837304204,0.17921686746987953,0.03709949409780776,22,593,21,558
62,50,50,514,690,0.08496845166363942,0.17208960596612044,0.22261139047678505,0.03827988215545234,0.11904963853247445,0.4681159420289855,0.16369529983792544,101,617,80,415
