age,xhat,yhat,occurrences,unique_beliefs,unique_urc_levels,mse_mean,mse_std,mse_min,mse_max,mse_range,modal_level_disagreement
3,5,5,4,4,1,0.24479725,0.002766518152389396,0.24319999999999997,0.249589,0.0063890000000000335,0.0
3,6,0,2,2,1,0.22189650000000002,0.0019984999999999864,0.21989800000000004,0.223895,0.003996999999999973,0.0
3,6,5,3,3,1,0.24533033333333332,0.003019112489163371,0.243191,0.2496,0.006408999999999998,0.0
3,6,9,2,2,1,0.2218965,0.001998500000000014,0.21989799999999998,0.223895,0.003997000000000028,0.0
3,7,1,2,2,1,0.180639,0.02116700000000002,0.15947199999999997,0.201806,0.04233400000000004,0.0
3,7,2,4,4,2,0.212411,0.017553480381394454,0.19861299999999998,0.24190699999999998,0.043294,0.25
3,7,3,4,4,2,0.22726425,0.014348663027874763,0.21036299999999997,0.241985,0.03162200000000004,0.5
3,7,4,3,3,1,0.24473966666666666,0.0029296598589066522,0.24218599999999998,0.248842,0.006656000000000023,0.0
3,7,5,3,3,1,0.2474613333333333,0.003013224776805657,0.2432,0.2496,0.006399999999999989,0.0
3,8,5,4,4,1,0.24472725,0.0028157907748090957,0.24290899999999999,0.2496,0.0066910000000000025,0.0
3,8,8,2,2,2,0.22701349999999998,0.015895499999999993,0.211118,0.24290899999999999,0.031790999999999986,0.5
3,9,5,3,3,1,0.23906066666666667,0.007452434069185421,0.23379099999999997,0.2496,0.015809000000000017,0.0
3,9,6,2,2,2,0.22884299999999996,0.004947999999999994,0.22389499999999998,0.23379099999999997,0.009895999999999988,0.5
3,9,8,3,3,2,0.22343866666666665,0.0193503185216391,0.201709,0.248709,0.047000000000000014,0.33333333333333337
3,9,9,3,3,1,0.21625799999999998,0.00257416704974638,0.21439,0.21989799999999998,0.005507999999999985,0.0
4,0,0,3,3,1,0.2934332433333333,0.004639894763148075,0.2888513,0.29979205,0.010940749999999999,0.0
4,1,0,2,2,1,0.2555822,0.0036950600000000278,0.25188713999999995,0.25927726,0.0073901200000000555,0.0
4,2,6,2,2,1,0.291898,0.0014681400000000344,0.29042986,0.29336614000000005,0.002936280000000069,0.0
4,3,5,2,2,1,0.32672112000000003,0.0020809799999999545,0.3246401400000001,0.3288021,0.004161959999999909,0.0
4,4,0,2,2,1,0.2822598,0.01723849999999999,0.2650213,0.2994983,0.03447699999999998,0.0
4,4,5,2,2,1,0.327575485,0.001218745000000021,0.32635674,0.32879423,0.002437490000000042,0.0
4,5,0,2,2,1,0.29988496,0.000877739999999988,0.29900722,0.3007627,0.001755479999999976,0.0
4,5,5,4,4,1,0.32638968999999995,0.003910882115782851,0.31999988999999995,0.32957959,0.009579700000000024,0.0
4,6,0,2,2,2,0.303726135,0.003946074999999993,0.29978006,0.30767221,0.007892149999999987,0.5
4,6,1,2,2,1,0.26950939500000004,0.0011055350000000186,0.26840386,0.27061493000000003,0.002211070000000037,0.0
4,6,5,5,5,1,0.330232512,0.00470257042875234,0.32637501,0.33918801,0.012812999999999963,0.0
4,6,8,2,2,1,0.269509395,0.0011055350000000463,0.26840385999999994,0.27061493000000003,0.0022110700000000927,0.0
4,7,2,2,2,1,0.25985077500000003,0.021584035000000015,0.23826674,0.28143481000000004,0.04316807000000003,0.0
4,7,3,4,4,2,0.2941751375,0.018647094953896142,0.27588625999999994,0.32436945,0.048483190000000065,0.25
4,7,4,4,4,2,0.31312786000000004,0.014988431771389605,0.29299605999999995,0.3283103400000001,0.03531428000000014,0.25
4,7,5,6,6,1,0.33186861333333334,0.0050227246743497975,0.32638173000000004,0.33919985,0.012818119999999988,0.0
4,8,5,3,3,1,0.33250825666666667,0.004745243215054653,0.32872486,0.3392,0.010475139999999994,0.0
4,9,5,4,4,1,0.3219313575,0.011274407461974164,0.30757898,0.3392,0.03162102,0.0
4,9,6,3,3,2,0.30980363333333333,0.007985094425450192,0.30126542,0.32047327000000003,0.019207850000000026,0.33333333333333337
4,9,7,2,2,2,0.30422766,0.0034445499999999907,0.30078311,0.30767221,0.006889099999999981,0.5
4,9,8,3,3,2,0.3024426233333333,0.013390262158529793,0.28693582000000006,0.31960894,0.032673119999999944,0.33333333333333337
4,9,9,3,3,2,0.27138284333333335,0.0343938873892405,0.22298617999999998,0.29979205000000003,0.07680587000000005,0.33333333333333337
5,1,0,3,3,1,0.33060993960000007,0.0062173277248245,0.3240306848000002,0.3389510817,0.0149203968999998,0.0
5,2,0,2,2,1,0.32385922525,0.004953843649999984,0.3189053816,0.32881306889999995,0.009907687299999968,0.0
5,2,5,2,2,1,0.3788525938,0.002667289200000006,0.3761853046,0.381519883,0.005334578400000012,0.0
5,4,5,2,2,1,0.41144934,0.0005055935999999928,0.4109437464,0.41195493359999996,0.0010111871999999855,0.0
5,5,0,2,2,1,0.3634941332,0.016143134000000003,0.3473509992,0.3796372672,0.03228626800000001,0.0
5,5,5,2,2,1,0.41554812065,0.002813090250000011,0.4127350304,0.4183612109,0.005626180500000022,0.0
5,6,0,2,2,1,0.3815625563,0.0006218114999999858,0.38094074480000006,0.38218436780000004,0.0012436229999999715,0.0
5,6,1,2,2,1,0.34993724425000006,0.0021456456500000554,0.3477915986,0.3520828899000001,0.004291291300000111,0.0
5,6,5,4,4,1,0.41278713405,0.007832244886856646,0.3999930826,0.4191782565,0.01918517390000002,0.0
5,7,1,2,2,1,0.3566343684,0.0004870650999999615,0.35614730330000005,0.3571214335,0.000974130199999923,0.0
5,7,3,2,2,1,0.34320429585,0.022237379850000016,0.320966916,0.3654416757,0.04447475970000003,0.0
5,7,4,4,4,2,0.37961423317500004,0.020416611231548146,0.35532500089999997,0.41067063070000004,0.055345629800000073,0.25
5,7,5,9,9,2,0.4116408511444445,0.01452735575595382,0.3788120766,0.4319874375,0.053175360900000024,0.11111111111111116
5,7,8,2,2,1,0.35663436840000007,0.000487065100000017,0.35614730330000005,0.3571214335000001,0.000974130200000034,0.0
5,8,5,6,6,2,0.4110760811333334,0.017816634938589312,0.3741121096000001,0.43199983300000006,0.05788772339999998,0.16666666666666663
5,9,5,3,3,1,0.4089660420666667,0.019395389399121648,0.3845514144,0.43199999720000004,0.04744858280000003,0.0
5,9,6,4,4,1,0.39448462312500004,0.009820857459103154,0.38474742150000013,0.41034700399999996,0.02559958249999983,0.0
5,9,7,3,3,2,0.3835227135333334,0.009650700764583738,0.37109883990000003,0.3946274574,0.02352861749999996,0.33333333333333337
5,9,8,3,3,2,0.37728880230000006,0.00788352357209339,0.3663358785000001,0.3845680429000001,0.018232164399999973,0.33333333333333337
5,9,9,3,3,2,0.3461540401,0.03275005374911955,0.29995607129999996,0.3721095591000001,0.07215348780000014,0.33333333333333337
6,2,0,3,3,1,0.39714293540966666,0.008241878659139572,0.38803678640200007,0.40799691329599996,0.019960126893999897,0.0
6,3,0,2,2,1,0.3961422717359999,0.006216260067000018,0.38992601166899993,0.40235853180299996,0.012432520134000036,0.0
6,3,5,2,2,2,0.4623861176960001,0.0015128223239999627,0.4608732953720001,0.46389894002000004,0.0030256446479999255,0.5
6,5,5,2,2,1,0.4994024915780001,0.0010817048430000753,0.498320786735,0.5004841964210002,0.0021634096860001506,0.0
6,6,0,2,2,1,0.448040764128,0.01504588456400005,0.43299487956399996,0.46308664869200006,0.0300917691280001,0.0
6,6,1,2,2,1,0.42819567862249996,0.0015078301094999802,0.426687848513,0.429703508732,0.0030156602189999604,0.0
6,6,5,2,2,1,0.506736089329,0.004413125982999921,0.5023229633460001,0.511149215312,0.008826251965999843,0.0
6,7,1,2,2,1,0.43867259510300005,0.0010418644679999478,0.4376307306350001,0.43971445957099997,0.0020837289359998956,0.0
6,7,2,2,2,1,0.4335696918505001,0.0016487867224999897,0.4319209051280001,0.43521847857300006,0.0032975734449999794,0.0
6,7,4,2,2,1,0.43039049791000006,0.022901844010000005,0.40748865390000005,0.45329234192000006,0.04580368802000001,0.0
6,7,5,8,8,2,0.4852162338735,0.02483109605713005,0.43794665087299994,0.511977576647,0.07403092577400011,0.25
6,8,5,9,9,2,0.48982301079322227,0.03169327035294667,0.41840629395900003,0.5279872865849999,0.1095809926259999,0.2222222222222222
6,8,8,2,2,1,0.4465555264015,0.0022098207375000067,0.444345705664,0.448765347139,0.0044196414750000135,0.0
6,9,5,6,6,2,0.4753846889566667,0.03956030853415111,0.4005061923510001,0.5279998193569999,0.1274936270059998,0.16666666666666663
6,9,6,3,3,1,0.48225018496766664,0.015922968455254455,0.46500320914599996,0.5034123233400001,0.038409114194000116,0.0
6,9,7,4,4,2,0.46997069294575006,0.009907243024014955,0.4578528781420001,0.48475681488399996,0.026903936741999868,0.25
6,9,8,4,4,2,0.4505717348265,0.021030818177465858,0.41696255145,0.47126253256700007,0.05429998111700007,0.5
6,9,9,3,3,2,0.4281001687336667,0.03356608698045291,0.3808705967120001,0.45584399068,0.0749733939679999,0.33333333333333337
7,3,0,3,3,2,0.46767126701546996,0.010285416805876942,0.4560309437354399,0.48104535834527007,0.02501441460983017,0.33333333333333337
7,4,0,2,2,1,0.4723449024239249,0.007483642393584927,0.46486126003033995,0.4798285448175098,0.014967284787169854,0.0
7,4,5,2,2,1,0.5498099452001299,0.00033784324608004956,0.5494721019540499,0.55014778844621,0.0006756864921600991,0.0
7,6,1,2,2,1,0.49418695873416,0.01416311659784003,0.48002384213632,0.508350075332,0.02832623319568006,0.0
7,6,5,2,2,1,0.59057041187254,0.0026746738126399716,0.5878957380599,0.59324508568518,0.005349347625279943,0.0
