model,threshold,total_starts,actual_update_min,actual_update_q1,actual_update_median,actual_update_mean,actual_update_q3,actual_update_max,actual_update_stddev,interval_trigger_count,fallback_count,interval_trigger_fraction,fallback_fraction
21,9,72,2,2.0,2.0,2.625,2.0,10,1.8290670056373306,68,4,0.9444444444444444,0.05555555555555555
21,10,72,2,2.0,2.0,3.125,3.0,10,2.30300226757258,65,7,0.9027777777777778,0.09722222222222222
21,11,72,2,2.0,3.0,3.4305555555555554,3.0,10,2.2225260209005984,65,7,0.9027777777777778,0.09722222222222222
21,12,72,2,3.0,3.0,3.7083333333333335,4.0,10,2.13721976720536,65,7,0.9027777777777778,0.09722222222222222
21,13,72,3,3.0,3.0,4.180555555555555,4.0,10,2.2442914551818953,63,9,0.875,0.125
21,14,72,3,3.0,4.0,4.555555555555555,5.0,10,2.159532413952979,63,9,0.875,0.125
21,15,72,3,4.0,5.0,5.027777777777778,5.0,10,2.0410524397301493,63,9,0.875,0.125
21,16,72,3,4.0,5.0,5.861111111111111,6.0,10,2.1363621438970837,59,13,0.8194444444444444,0.18055555555555555
21,17,72,3,5.0,6.0,6.555555555555555,7.0,10,2.0336672464136805,57,15,0.7916666666666666,0.20833333333333334
21,18,72,4,6.0,7.0,7.361111111111111,10.0,10,1.974177434581268,52,20,0.7222222222222222,0.2777777777777778
21,19,72,10,10.0,10.0,10.0,10.0,10,0.0,0,72,0.0,1.0
22,1,69,1,1.0,1.0,1.0,1.0,1,0.0,69,0,1.0,0.0
22,2,69,1,1.0,1.0,1.0,1.0,1,0.0,69,0,1.0,0.0
22,3,69,1,1.0,1.0,1.0,1.0,1,0.0,69,0,1.0,0.0
22,4,69,1,1.0,1.0,1.1594202898550725,1.0,10,1.0851192201353557,68,1,0.9855072463768116,0.014492753623188406
22,5,69,1,1.0,1.0,1.4057971014492754,2.0,10,1.1334037562908494,68,1,0.9855072463768116,0.014492753623188406
22,6,69,1,1.0,2.0,1.7536231884057971,2.0,10,1.1086719709510306,68,1,0.9855072463768116,0.014492753623188406
22,7,69,2,2.0,2.0,2.3768115942028984,2.0,10,1.6338932723323212,66,3,0.9565217391304348,0.043478260869565216
22,8,69,2,2.0,2.0,2.4782608695652173,2.0,10,1.6383864070797194,66,3,0.9565217391304348,0.043478260869565216
