model,threshold,total_starts,actual_update_min,actual_update_q1,actual_update_median,actual_update_mean,actual_update_q3,actual_update_max,actual_update_stddev,interval_trigger_count,fallback_count,interval_trigger_fraction,fallback_fraction
16,7,75,2,2.0,2.0,2.44,2.0,10,1.7980730426394438,71,4,0.9466666666666667,0.05333333333333334
16,8,75,2,2.0,2.0,2.493333333333333,2.0,10,1.79906148372484,71,4,0.9466666666666667,0.05333333333333334
16,9,75,2,2.0,2.0,2.64,3.0,10,1.7936183168853586,71,4,0.9466666666666667,0.05333333333333334
16,10,75,2,2.0,2.0,2.933333333333333,3.0,10,2.1312489817527704,69,6,0.92,0.08
16,11,75,2,2.0,3.0,3.24,3.0,10,2.0710061966751008,69,6,0.92,0.08
16,12,75,2,3.0,3.0,3.506666666666667,3.0,10,1.9891259945569617,69,6,0.92,0.08
16,13,75,3,3.0,3.0,4.0,4.0,10,2.1166010488516727,67,8,0.8933333333333333,0.10666666666666667
16,14,75,3,3.0,3.0,4.16,4.0,10,2.0978719376231396,67,8,0.8933333333333333,0.10666666666666667
16,15,75,3,3.0,4.0,4.466666666666667,5.0,10,2.0548046676563256,67,8,0.8933333333333333,0.10666666666666667
16,16,75,3,4.0,5.0,5.08,5.0,10,2.076920797719547,65,10,0.8666666666666667,0.13333333333333333
16,17,75,3,4.0,5.0,5.546666666666667,6.0,10,2.054545096987544,64,11,0.8533333333333334,0.14666666666666667
16,18,75,4,5.0,6.0,6.1466666666666665,7.0,10,2.0112572077075463,62,13,0.8266666666666667,0.17333333333333334
16,19,75,10,10.0,10.0,10.0,10.0,10,0.0,0,75,0.0,1.0
17,1,68,1,1.0,1.0,1.0,1.0,1,0.0,68,0,1.0,0.0
17,2,68,1,1.0,1.0,1.0,1.0,1,0.0,68,0,1.0,0.0
17,3,68,1,1.0,1.0,1.0,1.0,1,0.0,68,0,1.0,0.0
17,4,68,1,1.0,1.0,1.2941176470588236,1.0,10,1.524880164331261,66,2,0.9705882352941176,0.029411764705882353
17,5,68,1,1.0,1.0,1.4411764705882353,1.0,10,1.5375912497185564,66,2,0.9705882352941176,0.029411764705882353
17,6,68,1,1.0,1.0,1.6911764705882353,2.0,10,1.5267935734463105,66,2,0.9705882352941176,0.029411764705882353
17,7,68,2,2.0,2.0,2.5,2.0,10,1.8825827065653247,64,4,0.9411764705882353,0.058823529411764705
17,8,68,2,2.0,2.0,2.6029411764705883,2.0,10,1.8797661453610857,64,4,0.9411764705882353,0.058823529411764705
17,9,68,2,2.0,2.0,2.7058823529411766,3.0,10,1.871291025951396,64,4,0.9411764705882353,0.058823529411764705
17,10,68,2,2.0,2.0,3.0588235294117645,3.0,10,2.228705460055604,62,6,0.9117647058823529,0.08823529411764706
17,11,68,2,2.0,3.0,3.3088235294117645,3.0,10,2.1845537499693592,62,6,0.9117647058823529,0.08823529411764706
17,12,68,2,2.0,3.0,3.5441176470588234,4.0,10,2.1173917329736254,62,6,0.9117647058823529,0.08823529411764706
17,13,68,3,3.0,3.0,4.147058823529412,4.0,10,2.1913245113827506,60,8,0.8823529411764706,0.11764705882352941
17,14,68,3,3.0,4.0,4.367647058823529,5.0,10,2.17542701531491,60,8,0.8823529411764706,0.11764705882352941
17,15,68,3,3.0,4.0,4.602941176470588,5.0,10,2.156656630080274,60,8,0.8823529411764706,0.11764705882352941
17,16,68,3,4.0,4.0,5.147058823529412,5.0,10,2.296190616974333,57,11,0.8382352941176471,0.16176470588235295
17,17,68,3,4.0,5.0,5.4411764705882355,6.0,10,2.2516814171086126,57,11,0.8382352941176471,0.16176470588235295
17,18,68,4,4.0,5.0,6.073529411764706,7.0,10,2.1441862330674835,55,13,0.8088235294117647,0.19117647058823528
17,19,68,10,10.0,10.0,10.0,10.0,10,0.0,0,68,0.0,1.0
18,1,73,1,1.0,1.0,1.0,1.0,1,0.0,73,0,1.0,0.0
18,2,73,1,1.0,1.0,1.0,1.0,1,0.0,73,0,1.0,0.0
18,3,73,1,1.0,1.0,1.0,1.0,1,0.0,73,0,1.0,0.0
